"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","StudySoup","300,000","convertible_note","2014-08-01","Details",""
"2","New York Digital Health Accelerator","Dorsata","1,000,000","convertible_note","2015-01-26","Details",""
"3","Techstars","Cognotion","500,000","seed","2015-04-06","Details",""
"4","Code for America Accelerator","SeamlessDocs","2,000,000","venture","2015-02-19","Details",""
"5","500startups","StudySoup","1,700,000","seed","2015-08-26","Details",""
"6","Techstars","Cognotion","2,000,000","convertible_note","2015-09-25","Details",""
"7","Techstars","Voyhoy","750,000","seed","2017-05-15","Details",""
"8","Techstars","Voyhoy","210,000","seed","2016-05-08","Details",""
"9","New York Digital Health Accelerator","Dorsata","1,100,000","seed","2016-01-21","Details",""
"10","New York Digital Health Accelerator","Dorsata","1,000,000","convertible_note","2014-12-10","Details",""
"11","Boost VC","Swyft","2,500,000","venture","2017-05-03","Details",""
"12","Code for America Accelerator","SeamlessDocs","1,000,000","seed","2013-07-01","Details",""
"13","Code for America Accelerator","SeamlessDocs","7,000,000","venture","2016-05-23","Details",""
"14","Techstars","Final","1,000,000","seed","2015-01-27","Details",""
"15","LearnLaunchX","eduCanon","500,000","convertible_note","2014-09-08","Details",""
"16","Code for America Accelerator","SeamlessDocs","1,435,000","convertible_note","2014-09-21","Details",""
"17","Y Combinator","Final","1,000,000","seed","2015-01-27","Details",""
