"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Transcriptic","2,800,000","seed","2014-02-14","Details",""
"2","Y Combinator","GrubMarket","2,100,000","seed","2015-01-27","Details",""
"3","Y Combinator","Rigetti Computing","40,000,000","venture","2017-03-28","Details",""
"4","Y Combinator","CloudMedX","6,600,000","seed","2015-05-01","Details",""
"5","Y Combinator","Docker","800,000","angel","2011-02-28","Details","Exited"
"6","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"7","Y Combinator","Memebox","17,500,000","venture","2015-01-30","Details",""
"8","Y Combinator","Interana","20,000,000","venture","2015-01-21","Details",""
"9","The Alchemist Accelerator","Rigetti Quantum Computing","40,000,000","venture","2017-03-28","Details",""
"10","Y Combinator","Watchsend","650,000","seed","2013-06-01","Details",""
"11","Y Combinator","Atomwise","6,000,000","seed","2015-06-03","Details",""
"12","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"13","Y Combinator","MatterPort","16,000,000","venture","2014-07-07","Details",""
"14","Y Combinator","Cofactor Genomics","2,630,000","seed","2015-07-31","Details",""
"15","RockHealth","Neurotrack","6,500,000","venture","2016-01-27","Details",""
"16","Y Combinator","Transcriptic","13,400,000","venture","2016-11-17","Details",""
"17","Y Combinator","AeroFS","","seed","2010-08-20","Details",""
"18","Y Combinator","GrubMarket","10,000,000","venture","2015-09-18","Details",""
"19","Y Combinator","Leftronic","500,000","seed","2010-11-17","Details","Exited"
"20","500startups","Totspot","1,800,000","seed","2014-09-01","Details","Exited"
"21","Y Combinator","Transcriptic","8,500,000","venture","2015-02-19","Details",""
