"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchBox Digital","Koofers","2,000,000","seed","2010-01-22","Details",""
"2","fbFund","Koofers","2,000,000","seed","2010-01-22","Details",""
"3","fbFund","Kontagent","12,000,000","venture","2011-11-10","Details",""
"4","Techstars","Testlio","6,250,000","venture","2016-04-12","Details",""
"5","fbFund","Koofers","5,000,000","venture","2010-09-29","Details",""
"6","Y Combinator","Memebox","67,000,000","venture","2015-12-11","Details",""
"7","Y Combinator","Memebox","17,500,000","venture","2015-01-30","Details",""
"8","fbFund","Kontagent","4,500,000","venture","2010-06-29","Details",""
"9","Y Combinator","Memebox","11,920,000","venture","2014-07-01","Details",""
"10","LaunchBox Digital","Koofers","5,000,000","venture","2010-09-29","Details",""
