"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","AeroFS","10,000,000","venture","2015-07-14","Details",""
"2","Y Combinator","Chart.io","2,200,000","venture","2014-01-24","Details",""
"3","Y Combinator","Chart.io","1,290,000","seed","2010-06-01","Details",""
"4","Y Combinator","Cloudant","2,100,000","venture","2011-12-16","Details","Exited"
"5","Y Combinator","Chart.io","3,150,000","venture","2011-10-31","Details",""
"6","Y Combinator","JustSpotted","750,000","seed","2009-10-29","Details","Exited"
"7","Techstars","Shelby.tv","2,200,000","venture","2012-07-31","Details","Exited"
"8","Y Combinator","NanoNets","","seed","2017-04-01","Details",""
"9","Techstars","Kinvey","10,874,000","venture","2014-09-23","Details","Exited"
"10","Y Combinator","Smyte","4,000,000","venture","2017-03-28","Details",""
"11","Y Combinator","RethinkDB","3,000,000","venture","2011-09-01","Details","Exited
						Dead"
"12","Y Combinator","Cloudkick","750,000","venture","2009-09-14","Details","Exited"
"13","Techstars","Shelby.tv","1,500,000","seed","2011-07-14","Details","Exited"
"14","Y Combinator","Cloudant","1,000,000","venture","2008-12-01","Details","Exited"
"15","Y Combinator","Cloudant","12,000,000","venture","2013-05-14","Details","Exited"
"16","Y Combinator","Cloudant","1,000,000","venture","2010-12-01","Details","Exited"
"17","Y Combinator","RethinkDB","1,200,000","seed","2010-04-02","Details","Exited
						Dead"
"18","Techstars","Kinvey","5,000,000","venture","2012-07-11","Details","Exited"
"19","Y Combinator","Cloudkick","2,000,000","venture","2010-04-28","Details","Exited"
