"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","Grand Round Table","250,000","seed","2015-05-06","Details",""
"2","Techstars","Zagster","","angel","2010-07-01","Details",""
"3","500startups","COSY","200,000","seed","2016-11-09","Details",""
"4","DreamIT Ventures","Fitly","150,000","seed","2014-03-06","Details",""
"5","The Yield Lab","Holganix","250,000","venture","2011-02-15","Details",""
"6","DreamIT Ventures","Grassroots Unwired","100,000","seed","2014-06-18","Details",""
"7","DreamIT Ventures","TowerView Health","200,000","seed","2015-03-18","Details",""
"8","DreamIT Ventures","BioBots","1,250,000","seed","2015-09-03","Details",""
"9","DreamIT Ventures","CloudMine","5,000,000","venture","2015-03-03","Details",""
"10","DreamIT Ventures","BioBots","1,200,000","seed","2015-05-06","Details",""
"11","DreamIT Ventures","BioBots","50,000","seed","2014-11-01","Details",""
"12","DreamIT Ventures","Roar","50,000","seed","2015-06-01","Details",""
"13","Techstars","Tuva Labs","430,000","seed","2014-07-24","Details",""
"14","The Yield Lab","Holganix","200,000","venture","2012-01-19","Details",""
"15","DreamIT Ventures","SnipSnap","1,000,000","angel","2012-05-11","Details","Exited"
"16","Imagine K12","KickUp","1,540,000","seed","2016-05-20","Details",""
"17","DreamIT Ventures","Grand Round Table","50,000","seed","2014-03-26","Details",""
