"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","CompStak","570,000","seed","2012-12-31","Details",""
"2","500startups","fitocracy","250,000","seed","2013-01-01","Details",""
"3","500startups","PayByGroup","","seed","2014-02-04","Details",""
"4","RockHealth","ChickRx","","seed","2011-12-30","Details",""
"5","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"6","Y Combinator","Chirply","1,100,000","seed","2011-04-07","Details",""
"7","Y Combinator","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"8","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"9","Y Combinator","Zenefits","2,100,000","seed","2013-07-26","Details",""
"10","Y Combinator","CrowdMed","1,200,000","seed","2013-06-06","Details",""
"11","Springboard","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"12","500startups","Chewse","1,000,000","seed","2013-04-01","Details",""
"13","Y Combinator","FutureAdvisor","1,000,000","seed","2010-01-01","Details","Exited"
"14","Code for America Accelerator","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"15","Y Combinator","500Friends","","undisclosed","2011-04-25","Details","Exited"
"16","AngelPad","Periscope","","seed","2012-12-26","Details",""
"17","Y Combinator","Indinero","17,000","seed","2010-06-01","Details",""
"18","Y Combinator","Lever","","seed","2012-01-01","Details",""
"19","Flashpoint","Pindrop Security","1,000,000","seed","2012-05-01","Details",""
"20","Y Combinator","9GAG","2,800,000","seed","2012-07-30","Details",""
"21","AngelPad","Kinnek","10,000,000","venture","2014-09-15","Details",""
"22","Y Combinator","Quartzy","1,200,000","seed","2012-02-23","Details",""
"23","Y Combinator","HelloSign","","seed","2011-03-01","Details",""
"24","Y Combinator","Gobble","1,200,000","venture","2011-05-11","Details",""
"25","Imagine K12","Learnsprout","500,000","seed","2013-04-23","Details","Exited"
