"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"2","Techstars","Shelby.tv","1,500,000","seed","2011-07-14","Details","Exited"
"3","Y Combinator","Truebill","350,000","seed","2016-02-01","Details",""
"4","Y Combinator","Keychain Logistics","2,520,000","seed","2013-01-01","Details",""
"5","Y Combinator","Filestack","1,800,000","seed","2013-06-18","Details",""
"6","Y Combinator","Indinero","7,000,000","venture","2015-02-18","Details",""
"7","AngelPad","UpCounsel","1,500,000","seed","2013-10-02","Details",""
"8","Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"9","Y Combinator","Amiato","2,000,000","seed","2013-03-15","Details","Exited"
"10","Techstars","Shelby.tv","225,000","seed","2011-01-01","Details","Exited"
"11","500startups","Thinknum","1,000,000","seed","2014-07-28","Details",""
