"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Lygos","120,000","seed","2015-11-01","Details",""
"2","Techstars","ClassPass","2,000,000","seed","2014-03-31","Details",""
"3","Y Combinator","Kimono","","seed","2014-05-27","Details","Exited"
"4","DreamIT Ventures","SeatGeek","20,000","seed","2009-05-22","Details",""
"5","DreamIT Ventures","SeatGeek","550,000","angel","2010-01-08","Details",""
"6","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"7","Techstars","Orbotix","120,000","seed","2014-06-30","Details",""
"8","Techstars","Orbotix","120,000","seed","2014-06-30","Details",""
"9","DreamIT Ventures","SeatGeek","550,000","venture","2010-10-13","Details",""
"10","Y Combinator","WayUp","968,000","seed","2014-09-18","Details",""
