"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"2","Y Combinator","Scribd","9,000,000","venture","2008-12-19","Details",""
"3","Y Combinator","Earbits","605,000","seed","2011-06-17","Details","Exited"
"4","Y Combinator","Nowmov","","angel","2010-05-01","Details","Dead"
"5","Y Combinator","Scribd","13,000,000","venture","2011-01-18","Details",""
"6","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"7","AngelPad","Iterable","23,000,000","venture","2016-11-12","Details",""
"8","Techstars","PillPack","55,000,000","venture","2016-09-06","Details",""
"9","Y Combinator","DoorDash","17,300,000","venture","2014-05-22","Details",""
"10","AngelPad","Iterable","8,000,000","venture","2016-01-21","Details",""
"11","Y Combinator","RethinkDB","1,200,000","seed","2010-04-02","Details","Exited
						Dead"
"12","Seedcamp","GrabCad","8,150,000","venture","2012-10-16","Details","Exited"
"13","Y Combinator","DoorDash","40,000,000","venture","2015-03-26","Details",""
"14","Y Combinator","Bop.fm","2,000,000","seed","2014-07-09","Details","Exited"
"15","Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"16","Y Combinator","CrateJoy","4,000,000","venture","2014-10-14","Details",""
"17","Techstars","PillPack","50,000,000","venture","2015-06-03","Details",""
"18","Y Combinator","Pebble Technology","15,000,000","venture","2013-05-16","Details","Exited"
"19","Techstars","Gorgias","1,500,000","seed","2016-02-11","Details",""
"20","Techstars","GrabCAD","8,150,000","venture","2012-10-16","Details","Exited"
"21","Imagine K12","NoRedInk","2,000,000","seed","2013-08-21","Details",""
"22","AngelPad","EggCartel","1,000,000","seed","2011-06-28","Details","Dead"
"23","Y Combinator","FreshPlum","1,440,000","seed","2011-11-02","Details","Exited"
"24","Y Combinator","Scribd","22,000,000","venture","2015-01-02","Details",""
"25","Y Combinator","Crowdbooster","","seed","2011-01-01","Details",""
"26","Y Combinator","DoorDash","2,400,000","angel","2013-09-30","Details",""
"27","Y Combinator","Chirply","1,100,000","seed","2011-04-07","Details",""
