"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Propeller Venture Accelerator","Fantom","30,000","seed","2011-01-01","Details",""
"2","Propeller Venture Accelerator","GreenEgg Technologies","30,000","seed","2011-06-05","Details",""
"3","Propeller Venture Accelerator","Healthcomms","30,000","seed","2011-06-05","Details",""
"4","Propeller Venture Accelerator","Simple Lifeforms","40,000","seed","2011-02-25","Details",""
"5","Propeller Venture Accelerator","SwiftQueue","30,000","seed","2012-04-01","Details",""
"6","Propeller Venture Accelerator","LikeWhere","20,000","angel","2013-12-06","Details",""
"7","Propeller Venture Accelerator","Vendorshop","30,000","seed","2011-06-05","Details","Dead"
"8","Propeller Venture Accelerator","Picturk","30,000","seed","2012-06-05","Details",""
"9","Propeller Venture Accelerator","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"10","Propeller Venture Accelerator","Youshipped","30,000","seed","2013-12-06","Details","Dead"
"11","Propeller Venture Accelerator","LikeWhere","35,000","debt_financing","2013-03-01","Details",""
"12","Propeller Venture Accelerator","Volvam","30,000","seed","2013-12-06","Details",""
"13","Propeller Venture Accelerator","billfaster","30,000","seed","2013-12-06","Details",""
