"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Meta Space Glasses","","undisclosed","2014-01-01","Details",""
"2","Y Combinator","Meta Space Glasses","23,000,000","venture","2015-01-28","Details",""
"3","The Brandery","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"4","Y Combinator","Flirtey","50,000","seed","2015-01-01","Details",""
"5","Y Combinator","GrubMarket","20,000,000","venture","2016-08-04","Details",""
"6","Y Combinator","Airware","30,000,000","venture","2016-03-31","Details",""
"7","The Alchemist Accelerator","NextInput","3,000,000","venture","2016-04-04","Details",""
"8","Y Combinator","MailTime","550,000","convertible_note","2014-09-07","Details",""
"9","Y Combinator","Meta Space Glasses","50,000,000","venture","2016-06-13","Details",""
"10","Y Combinator","GrubMarket","10,000,000","venture","2015-09-18","Details",""
"11","Y Combinator","Optimizely","58,000,000","venture","2015-10-13","Details",""
"12","Startmate","Flirtey","50,000","seed","2015-01-01","Details",""
"13","Y Combinator","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"14","Y Combinator","Diassess","","undisclosed","2014-01-01","Details",""
