"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","99dresses","","undisclosed","2012-06-01","Details","Dead"
"2","Excelerate Labs","SpotHero","20,000,000","venture","2015-08-19","Details",""
"3","Techstars","Atlas","1,800,000","seed","2015-12-31","Details",""
"4","Boost VC","HashRabbit","500,000","seed","2015-02-04","Details",""
"5","Mucker Lab","Younity","3,540,000","seed","2013-08-12","Details",""
"6","Techstars","MightySignal","1,300,000","seed","2015-02-03","Details",""
"7","Amplify.LA","Stacksocial","800,000","seed","2012-07-24","Details",""
"8","AngelPad","Ribbon","1,630,000","seed","2013-02-05","Details",""
"9","Y Combinator","Webflow","2,900,000","seed","2014-03-11","Details",""
"10","Techstars","PivotDesk","3,625,000","venture","2014-04-10","Details","Exited"
"11","500startups","LawTrades","1,800,000","seed","2016-12-14","Details",""
"12","Techstars","Nuerala","14,000,000","venture","2017-01-17","Details",""
"13","Amplify.LA","TheBouqs","6,000,000","venture","2014-06-26","Details",""
"14","Amplify.LA","TheBouqs","12,000,000","venture","2016-02-03","Details",""
"15","Boost VC","Atlas Card","1,800,000","seed","2015-12-31","Details",""
"16","Techstars","PivotDesk","3,235,000","seed","2012-09-24","Details","Exited"
"17","Y Combinator","Pebble Technology","375,000","angel","2011-04-18","Details","Exited"
"18","Y Combinator","Kash","2,000,000","seed","2014-11-04","Details",""
"19","Y Combinator","Goldbely","3,000,000","seed","2013-09-17","Details",""
"20","500startups","CoContest","1,890,000","venture","2016-10-08","Details",""
"21","Boost VC","AuditFile","3,000,000","venture","2014-02-07","Details",""
"22","Boost VC","Atlas Card","400,000","seed","2014-08-01","Details",""
"23","Techstars","Shelby.tv","2,200,000","venture","2012-07-31","Details","Exited"
"24","The Brandery","Giftiki","1,000,000","venture","2011-04-20","Details","Exited"
"25","Boost VC","Stampery","600,000","seed","2015-11-18","Details",""
"26","Boost VC","BitPagos","1,900,000","venture","2017-01-03","Details",""
"27","Amplify.LA","sensay","4,500,000","seed","2016-08-02","Details",""
"28","Techstars","Bamba","1,100,000","seed","2017-02-14","Details",""
"29","Techstars","Atlas","400,000","seed","2014-08-01","Details",""
"30","AngelPad","Cloudbot","1,220,000","venture","2011-10-04","Details",""
"31","Y Combinator","Atomwise","6,000,000","seed","2015-06-03","Details",""
