"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"2","Y Combinator","Lattice","2,800,000","seed","2016-05-12","Details",""
"3","Techstars","Foodzie","1,000,000","seed","2008-12-16","Details","Exited"
"4","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"5","Y Combinator","CrowdMed","1,200,000","seed","2013-06-06","Details",""
"6","Y Combinator","AirBnb","7,200,000","venture","2010-11-10","Details",""
"7","Y Combinator","Checkr","40,000,000","venture","2016-03-23","Details",""
"8","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"9","Y Combinator","Optimizely","1,200,000","angel","2010-03-17","Details",""
"10","Seedcamp","Patients Know Best","1,000,000","venture","2014-11-17","Details",""
"11","Y Combinator","Unbabel","1,500,000","seed","2014-07-18","Details",""
"12","Y Combinator","Stripe","20,000,000","venture","2012-07-09","Details",""
"13","Y Combinator","Zeplin","1,200,000","venture","2015-11-24","Details",""
"14","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"15","Y Combinator","iCracked","","seed","2012-04-10","Details",""
"16","Y Combinator","WorkRamp","1,800,000","seed","2016-12-01","Details",""
"17","Y Combinator","BitNami","","seed","2013-03-01","Details",""
"18","Y Combinator","Zenefits","66,500,000","venture","2014-06-03","Details",""
