"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","99dresses","","undisclosed","2012-06-01","Details","Dead"
"2","Y Combinator","Bop.fm","","seed","2013-12-01","Details","Exited"
"3","Y Combinator","Butter Systems","","undisclosed","2013-10-15","Details",""
"4","The Alchemist Accelerator","sense.ly","8,000,000","venture","2017-02-14","Details",""
"5","Y Combinator","Edyn","","venture","2015-11-09","Details",""
"6","Y Combinator","Edyn","120,000","seed","2014-07-16","Details",""
"7","Y Combinator","Wevorce","","convertible_note","2013-03-01","Details",""
"8","Orange Fab","soil IQ","2,000,000","seed","2016-02-10","Details",""
"9","Y Combinator","Edyn","2,000,000","seed","2016-02-10","Details",""
"10","Y Combinator","Genius","1,900,000","convertible_note","2011-09-11","Details",""
"11","Y Combinator","Memebox","11,920,000","venture","2014-07-01","Details",""
"12","Techstars","Roximity","450,000","venture","2014-12-03","Details","Exited"
"13","Y Combinator","Women.com","1,750,000","seed","2014-08-01","Details",""
"14","Y Combinator","Meta Space Glasses","","undisclosed","2014-01-01","Details",""
"15","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"16","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"17","Y Combinator","Memebox","17,500,000","venture","2015-01-30","Details",""
"18","Media Camp","Socialize","","angel","2012-06-01","Details","Exited"
"19","The Alchemist Accelerator","sense.ly","2,500,000","venture","2015-06-19","Details",""
"20","Y Combinator","Bellabeat","4,500,000","seed","2014-05-23","Details",""
"21","Y Combinator","TrueVault","2,500,000","seed","2014-03-27","Details",""
"22","Y Combinator","Install Monetizer","500,000","seed","2013-01-14","Details","Dead"
"23","Y Combinator","CodeCombat","100,000","seed","2013-10-19","Details",""
"24","Orange Fab","soil IQ","120,000","seed","2014-07-16","Details",""
"25","Y Combinator","analyticsMD","","venture","2015-04-14","Details",""
"26","Y Combinator","Multiply Labs","2,700,000","venture","2017-05-02","Details",""
"27","Y Combinator","Wevorce","1,696,962","debt_financing","2014-07-31","Details",""
"28","Y Combinator","Gobble","10,750,000","venture","2015-10-29","Details",""
"29","Orange Fab","soil IQ","","venture","2015-11-09","Details",""
"30","Y Combinator","AirHelp","4,700,000","seed","2014-03-14","Details",""
"31","Techstars","Roximity","","seed","2012-05-17","Details","Exited"
