"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","fbFund","Life360","10,000,000","venture","2013-07-07","Details",""
"2","Techstars","GoKid","1,000,000","seed","2017-02-01","Details",""
"3","Techstars","Braiq","100,000","convertible_note","2016-06-04","Details",""
"4","Techstars","Donut Media","800,000","seed","2017-05-09","Details",""
"5","Techstars","Wise Systems","120,000","seed","2015-06-09","Details",""
"6","fbFund","Life360","50,000,000","venture","2014-05-15","Details",""
"7","Techstars","Zagster","1,000,000","venture","2012-10-18","Details",""
"8","Techstars","Cosmos Labs","850,000","seed","2015-12-15","Details",""
"9","Techstars","Voyhoy","750,000","seed","2017-05-15","Details",""
"10","Techstars","Zagster","3,500,000","venture","2015-07-02","Details",""
"11","Techstars","Cosmos Labs","120,000","seed","2015-06-15","Details",""
"12","Techstars","Pitstop","120,000","seed","2015-06-09","Details",""
"13","fbFund","Life360","5,500,000","venture","2011-09-01","Details",""
"14","Techstars","Voyhoy","210,000","seed","2016-05-08","Details",""
"15","Techstars","Elegus Technologies","100,000","convertible_note","2015-07-08","Details",""
"16","Techstars","Classics&Exotics","120,000","seed","2015-06-09","Details",""
"17","Techstars","Revio","120,000","convertible_note","2015-07-08","Details",""
"18","Techstars","HAAS Alert","225,000","seed","2015-03-14","Details",""
