"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SketchDeck","1,700,000","seed","2015-12-14","Details",""
"2","Y Combinator","Paribus","2,100,000","seed","2015-10-07","Details","Exited"
"3","Y Combinator","Pachyderm","2,000,000","seed","2015-06-10","Details",""
"4","Y Combinator","Paragon One","2,000,000","seed","2017-05-25","Details",""
"5","Y Combinator","Revlo","2,000,000","seed","2016-10-17","Details",""
"6","Techstars","Localytics","16,000,000","venture","2014-02-04","Details",""
"7","Y Combinator","Wevorce","1,700,000","seed","2013-11-21","Details",""
"8","500startups","BTCjam","6,100,000","venture","2014-12-24","Details","Dead"
"9","Y Combinator","Rappi","10,700,000","seed","2016-03-01","Details",""
"10","Y Combinator","Lollicam","2,000,000","seed","2016-06-01","Details",""
"11","Y Combinator","Simple Habit","2,500,000","seed","2017-05-09","Details",""
"12","Techstars","Localytics","35,000,000","venture","2015-03-24","Details",""
"13","Y Combinator","Arthena","1,200,000","seed","2014-07-11","Details",""
"14","500startups","PlateJoy","1,700,000","seed","2015-04-29","Details",""
"15","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"16","Y Combinator","SpoonRocket","11,000,000","venture","2014-05-15","Details","Exited"
"17","Y Combinator","Custora","6,500,000","venture","2015-04-07","Details",""
"18","500startups","BTCjam","1,900,000","venture","2015-10-29","Details","Dead"
