"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"2","Y Combinator","SwapBox","2,200,000","seed","2015-05-01","Details",""
"3","Y Combinator","Lattice","2,800,000","seed","2016-05-12","Details",""
"4","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"5","Y Combinator","HomeJoy","1,700,000","seed","2013-03-05","Details","Dead"
"6","Y Combinator","Weave","5,000,000","venture","2014-06-11","Details","Dead"
"7","Y Combinator","Weave Communications","5,000,000","venture","2014-06-11","Details",""
"8","Y Combinator","CoreOS","12,000,000","venture","2015-04-06","Details",""
"9","Y Combinator","CoreOS","30,000,000","venture","2016-05-09","Details",""
"10","Y Combinator","Interana","8,199,999","venture","2014-10-07","Details",""
"11","Y Combinator","Beep","1,600,000","seed","2014-06-01","Details",""
"12","Y Combinator","Interana","18,000,000","venture","2016-11-01","Details",""
"13","Y Combinator","CoreOS","","seed","2013-10-09","Details",""
"14","Y Combinator","LeadGenius","4,000,000","venture","2016-12-05","Details",""
"15","Y Combinator","Interana","20,000,000","venture","2015-01-21","Details",""
"16","Y Combinator","Teespring","1,200,000","angel","2013-04-01","Details",""
"17","Y Combinator","Joy","4,500,000","seed","2016-11-08","Details",""
"18","Y Combinator","Boostable","2,600,000","seed","2014-10-22","Details",""
"19","Y Combinator","Validere","2,000,000","seed","2016-09-07","Details",""
"20","Y Combinator","Flexport","6,900,000","venture","2014-01-01","Details",""
"21","Y Combinator","CoreOS","8,000,000","venture","2014-06-30","Details",""
"22","Y Combinator","LeadGenius","6,000,000","venture","2014-10-08","Details",""
"23","Y Combinator","SwapBox","800,000","seed","2013-12-05","Details",""
"24","Y Combinator","LeadGenius","10,000,000","venture","2016-07-27","Details",""
