"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Transcriptic","1,200,000","seed","2012-11-28","Details",""
"2","Flashpoint","Ionic Security","25,500,000","venture","2014-02-20","Details",""
"3","DreamIT Ventures","SCVNGR","12,000,000","venture","2012-06-07","Details",""
"4","i/o ventures","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"5","Y Combinator","Airware","3,000,000","seed","2013-03-31","Details",""
"6","Y Combinator","CoreOS","12,000,000","venture","2015-04-06","Details",""
"7","Flashpoint","Pindrop Security","80,799,996","venture","2016-08-08","Details",""
"8","DreamIT Ventures","SCVNGR","37,000,000","venture","2017-05-17","Details",""
"9","Techstars","Zipline","19,000,000","venture","2016-10-31","Details",""
"10","Techstars","Apptentive","1,200,000","seed","2012-12-11","Details",""
"11","Y Combinator","LendUp","50,000,000","venture","2016-01-20","Details",""
"12","Y Combinator","ProductHunt","880,000","seed","2014-08-21","Details","Exited"
"13","Y Combinator","Transcriptic","2,800,000","seed","2014-02-14","Details",""
"14","Y Combinator","Flexport","6,900,000","venture","2014-01-01","Details",""
"15","Techstars","Synack","7,500,000","venture","2014-04-24","Details",""
"16","Y Combinator","LendUp","47,500,000","venture","2016-08-22","Details",""
"17","Y Combinator","Segment.io","64,000,000","venture","2017-07-13","Details",""
"18","Y Combinator","Podium","32,000,000","venture","2017-05-09","Details",""
"19","Amplify.LA","Clutter","64,000,000","venture","2017-06-13","Details",""
"20","Y Combinator","LendUp","14,000,000","venture","2013-11-12","Details",""
"21","Techstars","ClassPass","30,000,000","venture","2015-11-10","Details",""
"22","Techstars","Synack","21,250,000","venture","2017-04-11","Details",""
"23","DreamIT Ventures","SCVNGR","4,000,000","venture","2010-01-11","Details",""
"24","Techstars","Synack","25,000,000","venture","2015-02-19","Details",""
"25","Y Combinator","CoreOS","30,000,000","venture","2016-05-09","Details",""
"26","Y Combinator","Gusto","60,000,000","venture","2015-04-06","Details",""
"27","DreamIT Ventures","SCVNGR","15,000,000","venture","2011-01-04","Details",""
"28","Techstars","ClassPass","70,000,000","venture","2017-06-16","Details",""
"29","Boost VC","Align Commerce","24,000,000","venture","2017-03-08","Details",""
"30","Y Combinator","HomeJoy","38,000,000","venture","2013-12-05","Details","Dead"
"31","Flashpoint","Ionic Security","40,100,000","venture","2015-01-12","Details",""
"32","Flashpoint","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"33","Y Combinator","HomeJoy","24,490,945","venture","2013-10-01","Details","Dead"
"34","Flashpoint","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"35","Y Combinator","LendUp","","seed","2012-10-10","Details",""
"36","Y Combinator","Airware","12,200,000","venture","2013-05-15","Details",""
"37","Y Combinator","Optimizely","2,000,000","seed","2012-02-06","Details",""
"38","Y Combinator","Clever","3,000,000","seed","2012-10-22","Details",""
"39","Y Combinator","Optimizely","28,000,000","venture","2013-04-16","Details",""
