"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","i/o ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"2","Techstars","Slash","1,300,000","seed","2015-12-09","Details",""
"3","500startups","Chewse","7,300,000","venture","2017-06-06","Details",""
"4","500startups","Chewse","5,900,000","venture","2015-08-03","Details",""
"5","Y Combinator","AirHelp","4,700,000","seed","2014-03-14","Details",""
"6","Techstars","Grove","2,049,999","seed","2014-05-29","Details",""
"7","Techstars","Keen Home","","venture","2015-10-16","Details",""
"8","Techstars","Good.co","750,000","seed","2014-05-01","Details",""
"9","Y Combinator","Eight","620,000","convertible_note","2014-10-01","Details",""
"10","Techstars","section.io","1,500,000","seed","2016-07-20","Details",""
"11","Techstars","Notion","2,500,000","seed","2015-05-26","Details",""
"12","Techstars","Testlio","1,000,000","seed","2015-03-30","Details",""
"13","Y Combinator","Eight","6,000,000","seed","2016-03-02","Details",""
"14","i/o ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"15","Y Combinator","AirHelp","12,000,000","venture","2016-08-03","Details",""
"16","Techstars","Keen.io","750,000","seed","2012-06-10","Details",""
"17","Y Combinator","Eight","620,000","convertible_note","2014-10-01","Details",""
"18","Y Combinator","Eight","6,000,000","seed","2016-03-02","Details",""
"19","Techstars","SocialSign.in","2,216,210","venture","2014-12-18","Details",""
"20","Y Combinator","Msg.ai","2,700,000","seed","2015-11-01","Details",""
"21","Techstars","Stream","1,750,000","seed","2015-08-11","Details",""
"22","Techstars","Keen Home","1,520,000","seed","2014-10-29","Details",""
"23","Techstars","Self Lender","535,000","seed","2015-04-14","Details",""
