"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Remitly","1,650,000","seed","2012-04-11","Details",""
"2","Highline","Food.ee","850,000","seed","2012-08-23","Details",""
"3","Techstars","Apptentive","1,200,000","seed","2012-12-11","Details",""
"4","Techstars","Vizify","1,417,000","seed","2012-03-03","Details","Exited"
"5","Techstars","Everpath","1,100,000","seed","2013-11-19","Details",""
"6","Techstars","Magicflix","580,000","seed","2014-11-14","Details",""
"7","Techstars","MetricStory","1,450,000","seed","2015-12-09","Details",""
"8","AngelPad","Allay","3,400,000","seed","2015-10-22","Details",""
"9","Techstars","GoChime","1,750,000","angel","2014-03-01","Details","Exited"
"10","Techstars","Magicflix","500,000","seed","2015-03-12","Details",""
