"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Betterfit Technologies","15,000","seed","2012-06-01","Details","Dead"
"2","Y Combinator","Filestack","1,800,000","seed","2013-06-18","Details",""
"3","LaunchpadLA","Melon","15,000","grant","2012-06-01","Details","Exited"
"4","DreamIT Ventures","SCVNGR","37,000,000","venture","2017-05-17","Details",""
"5","DreamIT Ventures","SCVNGR","12,000,000","venture","2012-06-07","Details",""
"6","DreamIT Ventures","SCVNGR","15,000,000","venture","2011-01-04","Details",""
"7","DreamIT Ventures","SCVNGR","4,000,000","venture","2010-01-11","Details",""
"8","Y Combinator","WePay","7,500,000","venture","2010-08-12","Details",""
"9","Techstars","SmackHigh","1,800,000","convertible_note","2017-03-20","Details",""
"10","Y Combinator","RethinkDB","1,200,000","seed","2010-04-02","Details","Exited
						Dead"
"11","Y Combinator","RethinkDB","3,000,000","venture","2011-09-01","Details","Exited
						Dead"
"12","Y Combinator","RethinkDB","8,000,000","venture","2013-12-16","Details","Exited
						Dead"
"13","DreamIT Ventures","SCVNGR","750,000","venture","2009-08-13","Details",""
"14","Y Combinator","WePay","10,000,000","venture","2012-05-03","Details",""
