"","InvName","InvID","InvWebsite"
"1","#BUILTBYGIRLS","5131731518619648","http://www.seed-db.com/investorgraph/investorview?investorid=5131731518619648"
"2",".406 Ventures","4903702712287232","http://www.seed-db.com/investorgraph/investorview?investorid=4903702712287232"
"3","01 Ventures","6262366878564352","http://www.seed-db.com/investorgraph/investorview?investorid=6262366878564352"
"4","100 X Capital Partners","6375505980817408","http://www.seed-db.com/investorgraph/investorview?investorid=6375505980817408"
"5","101 Startups","4786775700537344","http://www.seed-db.com/investorgraph/investorview?investorid=4786775700537344"
"6","10Branch","4965986180530176","http://www.seed-db.com/investorgraph/investorview?investorid=4965986180530176"
"7","10Xelerator","4716624435216384","http://www.seed-db.com/investorgraph/investorview?investorid=4716624435216384"
"8","10Xelerator","5647872099876864","http://www.seed-db.com/investorgraph/investorview?investorid=5647872099876864"
"9","10x Group","6263745227522048","http://www.seed-db.com/investorgraph/investorview?investorid=6263745227522048"
"10","122 West Ventures","5731399097122816","http://www.seed-db.com/investorgraph/investorview?investorid=5731399097122816"
"11","14W","4982227867795456","http://www.seed-db.com/investorgraph/investorview?investorid=4982227867795456"
"12","1517 Fund","6383948426903552","http://www.seed-db.com/investorgraph/investorview?investorid=6383948426903552"
"13","1776","5949180967124992","http://www.seed-db.com/investorgraph/investorview?investorid=5949180967124992"
"14","1776 Ventures","4940331535564800","http://www.seed-db.com/investorgraph/investorview?investorid=4940331535564800"
"15","1800Flowers","4960388584046592","http://www.seed-db.com/investorgraph/investorview?investorid=4960388584046592"
"16","1843 Capital","5703536033660928","http://www.seed-db.com/investorgraph/investorview?investorid=5703536033660928"
"17","2010 NYU Stern Business Plan Competition","5736914015485952","http://www.seed-db.com/investorgraph/investorview?investorid=5736914015485952"
"18","2020 Ventures","5399499774099456","http://www.seed-db.com/investorgraph/investorview?investorid=5399499774099456"
"19","2020 Ventures","5640229759221760","http://www.seed-db.com/investorgraph/investorview?investorid=5640229759221760"
"20","23Seed","4545276178071552","http://www.seed-db.com/investorgraph/investorview?investorid=4545276178071552"
"21","2500 Bachman Ventures","4619322190200832","http://www.seed-db.com/investorgraph/investorview?investorid=4619322190200832"
"22","2B Angels","4799147358027776","http://www.seed-db.com/investorgraph/investorview?investorid=4799147358027776"
"23","2B Angels","6242056800305152","http://www.seed-db.com/investorgraph/investorview?investorid=6242056800305152"
"24","313 Ventures","5653007672803328","http://www.seed-db.com/investorgraph/investorview?investorid=5653007672803328"
"25","313 Ventures","5951731099762688","http://www.seed-db.com/investorgraph/investorview?investorid=5951731099762688"
"26","316 Investments","5163230724882432","http://www.seed-db.com/investorgraph/investorview?investorid=5163230724882432"
"27","3311 Ventures","5654217796616192","http://www.seed-db.com/investorgraph/investorview?investorid=5654217796616192"
"28","33entrepreneurs","6561535660916736","http://www.seed-db.com/investorgraph/investorview?investorid=6561535660916736"
"29","360 Capital Partners","5635255146905600","http://www.seed-db.com/investorgraph/investorview?investorid=5635255146905600"
"30","360 Capital Partners","5656975983509504","http://www.seed-db.com/investorgraph/investorview?investorid=5656975983509504"
