"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"2","AngelPad","Cloudbot","1,220,000","venture","2011-10-04","Details",""
"3","Entrepreneurs Roundtable Accelerator","Centzy","800,000","seed","2011-12-28","Details",""
"4","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"5","Techstars","Contently","9,000,000","venture","2014-01-15","Details",""
"6","Y Combinator","GetGoing","2,500,000","seed","2012-01-01","Details","Exited"
"7","Mucker Lab","Lifecrowd","5,000,000","venture","2012-04-19","Details",""
"8","Entrepreneurs Roundtable Accelerator","Centzy","1,600,000","seed","2013-03-27","Details",""
"9","Techstars","Ovuline","10,000,000","venture","2016-10-14","Details",""
"10","Techstars","Ovuline","","venture","2014-10-06","Details",""
"11","Techstars","Ovuline","1,100,000","seed","2013-10-08","Details",""
"12","Techstars","Ovuline","","venture","2015-05-12","Details",""
"13","Excelerate Labs","SpotHero","2,500,000","venture","2012-12-13","Details",""
"14","Techstars","Contently","2,000,000","venture","2012-01-08","Details",""
"15","Techstars","Drifty","2,600,000","venture","2015-04-01","Details",""
"16","Techstars","Ovuline","1,400,000","seed","2013-01-07","Details",""
"17","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"18","Y Combinator","E la Carte","4,000,000","venture","2011-08-30","Details",""
"19","500startups","ProSky","2,300,000","seed","2015-12-15","Details",""
