"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Regalii","2,000,000","seed","2014-01-01","Details",""
"2","Y Combinator","Zenefits","2,100,000","seed","2013-07-26","Details",""
"3","Y Combinator","Nightingale","660,000","seed","2015-03-24","Details",""
"4","Y Combinator","Zenefits","15,000,000","venture","2014-01-22","Details",""
"5","fbFund","Kontagent","12,000,000","venture","2011-11-10","Details",""
"6","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"7","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"8","Y Combinator","WeFunder","","convertible_note","2014-06-30","Details",""
"9","Y Combinator","Science Exchange","28,000,000","venture","2017-06-29","Details",""
"10","fbFund","Kontagent","4,500,000","venture","2010-06-29","Details",""
