"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Keychain Logistics","2,520,000","seed","2013-01-01","Details",""
"2","Y Combinator","EasyPost","850,000","seed","2013-06-06","Details",""
"3","Techstars","MakersKit","1,503,000","seed","2014-07-01","Details",""
"4","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"5","Techstars","MakersKit","1,503,000","seed","2014-07-01","Details",""
"6","LaunchpadLA","Tuition.io","1,000,000","angel","2013-02-26","Details",""
"7","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"8","LaunchpadLA","Parachute","800,000","seed","2014-03-21","Details",""
"9","Techstars","Pickie","1,000,000","seed","2012-10-29","Details","Exited"
"10","Mucker Lab","Panjo","4,600,000","venture","2015-11-12","Details",""
"11","LaunchpadLA","Parachute","3,750,000","venture","2015-06-03","Details",""
"12","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"13","Mucker Lab","Panjo","1,600,000","seed","2013-07-23","Details",""
"14","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"15","Y Combinator","Zillabyte","1,500,000","seed","2013-06-05","Details",""
"16","Techstars","FEM Inc.","3,000,000","seed","2015-08-03","Details",""
