"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Direct Match","6,000,000","venture","2016-01-07","Details",""
"2","500startups","Finova Financial","52,500,000","undisclosed","2016-08-10","Details",""
"3","Y Combinator","DeepGram","1,800,000","venture","2016-09-27","Details",""
"4","Techstars","Owlet","7,000,000","venture","2015-08-18","Details",""
"5","500startups","Indio","2,000,000","seed","2016-11-01","Details",""
"6","Y Combinator","Pluot","2,500,000","venture","2016-08-02","Details",""
"7","Y Combinator","Move Loot","9,000,000","venture","2015-02-10","Details",""
"8","500startups","BetterView","1,550,000","seed","2016-02-23","Details",""
"9","Y Combinator","BlockStack Labs","4,000,000","seed","2017-01-05","Details",""
"10","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"11","Amplify.LA","AlphaDraft","5,000,000","seed","2015-05-19","Details","Exited"
"12","Techstars","ThinkNear","1,630,000","venture","2011-08-13","Details","Exited"
"13","500startups","Finova Financial","","seed","2016-01-28","Details",""
"14","AngelPad","UpCounsel","10,000,000","venture","2015-07-28","Details",""
"15","AngelPad","UpCounsel","2,400,000","seed","2014-12-09","Details",""
"16","Y Combinator","Direct Match","3,000,000","seed","2015-05-07","Details",""
