"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Nxtp.labs","Pixowl","25,000","seed","2012-09-01","Details",""
"2","Nxtp.labs","TiendaNube","1,000,000","venture","2013-03-01","Details",""
"3","Nxtp.labs","Presstler","25,000","seed","2012-08-01","Details","Dead"
"4","Nxtp.labs","Kidbox","125,000","seed","2013-03-01","Details",""
"5","Nxtp.labs","Jampp","550,000","seed","2012-03-01","Details",""
"6","The Yield Lab","Solapa4","25,000","seed","2014-03-01","Details",""
"7","Nxtp.labs","Hazelmail","25,000","seed","2012-09-01","Details","Dead"
"8","Nxtp.labs","Citibuddies","45,000","seed","2013-03-01","Details","Dead"
"9","500startups","femeninas","25,000","seed","2013-03-01","Details",""
"10","Nxtp.labs","Bixti","25,000","seed","2011-09-01","Details","Exited"
"11","Nxtp.labs","The Fan Machine","25,000","seed","2011-09-01","Details",""
"12","Nxtp.labs","Fanwards","25,000","seed","2011-09-01","Details","Dead"
"13","Nxtp.labs","WeHostels","25,000","seed","2011-09-01","Details","Exited"
"14","Nxtp.labs","Widow","145,970","convertible_note","2013-12-01","Details",""
"15","Nxtp.labs","Comenta.Tv","350,000","seed","2013-09-01","Details","Exited"
"16","Nxtp.labs","Logan","25,000","seed","2012-08-01","Details",""
"17","Nxtp.labs","yoquevos","25,000","seed","2011-09-01","Details","Dead"
"18","500startups","RingCaptcha","","seed","2015-01-01","Details",""
"19","Nxtp.labs","Good People","750,000","seed","2014-02-26","Details",""
"20","Nxtp.labs","Guidecentral","450,000","angel","2013-04-01","Details","Exited"
"21","Nxtp.labs","Workana","1,100,000","seed","2012-03-01","Details",""
"22","FounderFuel","Urbita","25,000","seed","2012-03-01","Details","Dead"
"23","Nxtp.labs","Properati","25,000","seed","2013-03-01","Details",""
"24","Nxtp.labs","Sinimanes","145,000","seed","2013-03-01","Details","Exited"
"25","Nxtp.labs","Comenta.Tv","100,000","seed","2011-09-01","Details","Exited"
"26","Nxtp.labs","Sinimanes","345,000","seed","2013-10-01","Details","Exited"
"27","Nxtp.labs","Citaldoc","25,000","seed","2012-01-08","Details",""
"28","Nxtp.labs","Alma Cosmetics","650,000","venture","2014-01-01","Details",""
"29","Nxtp.labs","Vontrip","25,000","seed","2013-02-28","Details",""
"30","Nxtp.labs","The Fan League","25,000","seed","2013-03-01","Details","Exited"
"31","500startups","iBillionaire","169,100","seed","2012-03-01","Details",""
"32","Y Combinator","BlueSmart","2,000,000","product_crowdfunding","2015-01-23","Details",""
"33","Nxtp.labs","Loogares","25,000","seed","2012-03-01","Details",""
"34","Nxtp.labs","Comenta.Tv","249,125","seed","2013-05-01","Details","Exited"
"35","Nxtp.labs","Afluenta","775,000","angel","2011-07-01","Details",""
"36","Nxtp.labs","OM LATAM","25,000","seed","2012-08-01","Details",""
"37","500startups","RingCaptcha","25,000","seed","2012-03-01","Details",""
"38","Rockstart Accelerator","Technorides","70,000","seed","2013-01-16","Details",""
"39","Nxtp.labs","Dotspin","25,000","seed","2013-03-01","Details",""
"40","500startups","WoowUp","200,000","seed","2014-08-01","Details",""
"41","Nxtp.labs","TiendaNube","32,500","seed","2011-09-01","Details",""
"42","Techstars","Tutum","25,000","seed","2013-09-01","Details","Exited"
"43","500startups","Wideo","460,000","seed","2014-07-01","Details",""
"44","Nxtp.labs","Flipaste","25,000","seed","2012-08-01","Details",""
"45","Nxtp.labs","Woowup","200,000","seed","2014-08-01","Details",""
"46","Nxtp.labs","FormaFina","125,000","seed","2012-03-01","Details",""
"47","Nxtp.labs","Trendsetters","25,000","seed","2011-01-01","Details",""
"48","Nxtp.labs","Ropit","25,000","seed","2012-03-01","Details",""
"49","Nxtp.labs","Workana","","seed","2014-11-01","Details",""
"50","Nxtp.labs","FormaFina","","seed","2014-02-26","Details",""
"51","Nxtp.labs","FormaFina","","seed","2014-11-27","Details",""
"52","Nxtp.labs","Citaldoc","25,000","seed","2012-09-01","Details",""
"53","Nxtp.labs","The Social Radio","25,000","seed","2011-09-01","Details",""
"54","Nxtp.labs","Properati","2,500,000","venture","2016-05-16","Details",""
"55","Nxtp.labs","Woowup","25,000","angel","2013-08-01","Details",""
"56","Nxtp.labs","Fligoo","75,000","seed","2013-03-01","Details",""
"57","Nxtp.labs","Properati","200,000","seed","2013-03-12","Details",""
"58","Nxtp.labs","Fligoo","359,000","seed","2014-09-20","Details",""
"59","Nxtp.labs","Wideo","460,000","seed","2014-07-01","Details",""
"60","Nxtp.labs","Ropit","500,000","venture","2013-01-01","Details",""
"61","Nxtp.labs","Properati","2,000,000","venture","2014-09-01","Details",""
"62","Nxtp.labs","FormaFina","2,165,000","seed","2015-06-04","Details",""
"63","Nxtp.labs","Bungolow","40,000","seed","2011-04-25","Details","Dead"
"64","Nxtp.labs","Redguru","25,000","seed","2012-08-01","Details",""
"65","Nxtp.labs","Lastroom","25,000","seed","2012-08-27","Details",""
"66","Nxtp.labs","Bungolow","25,000","seed","2012-03-01","Details","Dead"
"67","Nxtp.labs","Ideame","100,000","seed","2011-09-01","Details",""
"68","Nxtp.labs","RingCaptcha","","seed","2015-01-01","Details",""
"69","Nxtp.labs","Alma Cosmetics","100,000","seed","2012-07-03","Details",""
"70","Y Combinator","Streamup","1,000,000","seed","2015-05-01","Details",""
"71","500startups","WePlann","25,000","seed","2014-03-01","Details",""
"72","500startups","Funnely","988,000","seed","2014-08-10","Details",""
"73","Nxtp.labs","Citibuddies","25,000","seed","2013-03-01","Details","Dead"
"74","Nxtp.labs","Rock 'n Roll","25,000","seed","2012-08-01","Details",""
"75","500startups","WoowUp","25,000","angel","2013-08-01","Details",""
