"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Flutter","1,400,000","seed","2012-06-07","Details","Exited"
"2","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"3","Y Combinator","Loopt","12,000,000","venture","2007-07-23","Details","Exited"
"4","Techstars","DataRobot","33,000,000","venture","2016-02-11","Details",""
"5","Techstars","DataRobot","54,000,000","venture","2017-03-23","Details",""
"6","Y Combinator","Swiftype","7,500,000","venture","2013-09-27","Details",""
"7","Techstars","Sundar","1,300,000","seed","2015-12-15","Details",""
"8","Y Combinator","Simple Habit","2,500,000","seed","2017-05-09","Details",""
"9","RockHealth","Omada Health","800,000","seed","2011-12-21","Details",""
"10","Y Combinator","Segment.io","600,000","seed","2013-01-15","Details",""
"11","Techstars","Placemeter","1,700,000","seed","2013-11-01","Details","Exited"
"12","Y Combinator","Loopt","5,000,000","venture","2005-11-23","Details","Exited"
"13","Y Combinator","Firebase","1,400,000","seed","2012-05-24","Details","Exited"
"14","Y Combinator","CrowdMed","765,000","seed","2015-09-28","Details",""
"15","Y Combinator","Wit.ai","3,000,000","seed","2014-10-15","Details","Exited"
"16","Y Combinator","FreshPlum","1,440,000","seed","2011-11-02","Details","Exited"
"17","Techstars","Placester","27,000,000","venture","2015-11-24","Details",""
"18","RockHealth","Omada Health","4,700,000","venture","2013-03-21","Details",""
"19","Y Combinator","Heap Analytics","27,000,000","venture","2017-05-04","Details",""
"20","Techstars","Placester","15,000,000","venture","2015-04-07","Details",""
"21","Techstars","SmackHigh","1,800,000","convertible_note","2017-03-20","Details",""
"22","Techstars","Placester","50,000,000","venture","2017-03-24","Details",""
"23","Techstars","Placemeter","1,600,000","venture","2016-06-30","Details","Exited"
"24","Techstars","DataRobot","21,000,000","venture","2014-08-15","Details",""
"25","Y Combinator","Swiftype","13,000,000","venture","2015-03-05","Details",""
"26","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"27","Y Combinator","Starcity","3,800,000","seed","2016-12-31","Details",""
"28","Techstars","Placemeter","6,000,000","venture","2014-09-18","Details","Exited"
"29","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"30","Y Combinator","Heap Analytics","11,000,000","venture","2016-08-17","Details",""
"31","Y Combinator","CrowdMed","1,100,000","seed","2013-02-06","Details",""
"32","500startups","Indio","2,000,000","seed","2016-11-01","Details",""
"33","Mucker Lab","Surf Air","3,759,387","venture","2012-06-06","Details",""
"34","Y Combinator","Mattermark","400,000","seed","2013-07-01","Details",""
"35","Y Combinator","FreshPlum","1,044,999","seed","2014-02-13","Details","Exited"
