"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Brandery","Bitcasa","1,500,000","seed","2011-01-01","Details","Dead"
"2","Y Combinator","Weave Communications","15,500,000","venture","2015-11-03","Details",""
"3","Amplify.LA","Gem","7,600,000","venture","2016-01-06","Details",""
"4","The Brandery","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"5","The Brandery","Bitcasa","11,000,000","venture","2013-11-11","Details","Dead"
"6","Y Combinator","SimpleCitizen","700,000","seed","2015-10-29","Details",""
"7","The Alchemist Accelerator","YotaScale","3,600,000","venture","2017-02-16","Details",""
"8","Techstars","Keen.io","11,300,000","venture","2014-07-01","Details",""
"9","Techstars","Nuerala","14,000,000","venture","2017-01-17","Details",""
"10","Techstars","Keen.io","2,350,000","seed","2013-10-23","Details",""
