"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"2","Excelerate Labs","Pictarine","75,000","seed","2012-06-01","Details",""
"3","Techstars","Rewind Me Inc","800,000","seed","2012-06-14","Details","Dead"
"4","Excelerate Labs","GiveForward","500,000","venture","2011-02-14","Details","Exited"
"5","Excelerate Labs","Food Genius","75,000","seed","2011-06-01","Details","Exited"
"6","Excelerate Labs","Food Genius","1,200,000","venture","2012-09-11","Details","Exited"
"7","Excelerate Labs","Exchangery","75,000","seed","2011-06-01","Details","Dead"
"8","Excelerate Labs","WhimseyBox","75,000","seed","2012-06-01","Details",""
"9","Le Camping","Pictarine","75,000","seed","2012-06-01","Details",""
"10","Excelerate Labs","BuzzReferrals","600,000","venture","2011-12-19","Details",""
"11","Excelerate Labs","Power2Switch","1,300,000","seed","2011-12-05","Details","Exited"
"12","Techstars","IrisVR","8,000,000","venture","2016-10-25","Details",""
"13","Y Combinator","Aisle50","2,600,000","venture","2012-01-05","Details",""
"14","Techstars","SimpleRelevance","400,000","seed","2012-03-01","Details","Exited"
"15","Techstars","Telnyx","1,000,000","seed","2014-09-12","Details",""
"16","LaunchpadLA","Big Frame","3,400,000","seed","2012-06-27","Details","Exited"
"17","Excelerate Labs","Food Genius","1,000,000","venture","2013-09-17","Details","Exited"
"18","Excelerate Labs","Joystickers","25,000","seed","2011-06-01","Details","Dead"
"19","Y Combinator","Perfect Audience","1,100,000","seed","2012-10-05","Details","Exited"
"20","Excelerate Labs","71lbs","75,000","seed","2012-06-01","Details",""
"21","Mucker Lab","Retention Science","7,000,000","venture","2014-08-05","Details",""
"22","Excelerate Labs","Power2Switch","75,000","seed","2011-06-01","Details","Exited"
"23","Excelerate Labs","BuzzReferrals","50,000","seed","2011-04-30","Details",""
"24","Excelerate Labs","Lasso","75,000","seed","2012-06-01","Details",""
"25","Excelerate Labs","BuzzReferrals","75,000","undisclosed","2011-03-31","Details",""
"26","Excelerate Labs","SpotHero","20,000,000","venture","2015-08-19","Details",""
"27","Excelerate Labs","SpotHero","460,000","angel","2012-08-27","Details",""
"28","Excelerate Labs","Moxie Jean","75,000","seed","2012-06-01","Details","Exited"
"29","Flashpoint","Pindrop Security","1,000,000","seed","2012-05-01","Details",""
"30","Excelerate Labs","Edulender","1,000,000","seed","2011-03-08","Details",""
"31","Excelerate Labs","IntroFly","75,000","seed","2011-06-01","Details","Dead"
"32","Excelerate Labs","Shortlist","310,000","seed","2011-12-01","Details","Dead"
"33","Excelerate Labs","CookItFor.Us","75,000","seed","2011-06-01","Details","Dead"
"34","Excelerate Labs","SpotHero","2,500,000","venture","2012-12-13","Details",""
"35","Excelerate Labs","Cureeo","75,000","seed","2012-06-01","Details",""
