"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Prosper Capital Accelerator","Smart Monitor","50,000","convertible_note","2015-01-20","Details",""
"2","500startups","Baloonr","50,000","convertible_note","2016-01-10","Details",""
"3","DreamIT Ventures","baloonr","50,000","convertible_note","2016-01-10","Details",""
"4","SixThirty","Bandura","50,000","convertible_note","2015-08-23","Details",""
"5","Prosper Capital Accelerator","Smart Monitor","30,000","convertible_note","2015-08-01","Details",""
"6","500startups","KiteReaders","50,000","convertible_note","2015-01-20","Details",""
"7","Prosper Capital Accelerator","Bookalokal","20,000","seed","2015-01-20","Details",""
"8","Seed Hatchery","Boosterville","50,000","seed","2016-01-10","Details",""
"9","SixThirty","Bandura","40,000","convertible_note","2015-11-13","Details",""
"10","Prosper Capital Accelerator","Wondermento","50,000","seed","2015-01-01","Details",""
"11","SixThirty","Bandura","25,000","convertible_note","2016-05-10","Details",""
"12","NMotion","MusicSpoke","50,000","seed","2016-08-23","Details",""
"13","Prosper Capital Accelerator","KiteReaders","50,000","convertible_note","2015-01-20","Details",""
