"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Tutorspree","800,000","venture","2013-02-18","Details","Exited"
"2","Amplify.LA","Bitium","6,500,000","venture","2014-03-01","Details",""
"3","The Alchemist Accelerator","BrightFunnel","2,250,000","seed","2014-10-09","Details",""
"4","Y Combinator","HomeJoy","1,700,000","seed","2013-03-05","Details","Dead"
"5","The Alchemist Accelerator","BrightFunnel","6,000,000","venture","2015-12-02","Details",""
"6","Amplify.LA","Clutter","1,300,000","seed","2015-08-06","Details",""
"7","AngelPad","Runnable","2,000,000","seed","2013-10-30","Details",""
"8","Amplify.LA","Clutter","2,000,000","seed","2015-05-18","Details",""
"9","Amplify.LA","Bitium","2,400,000","seed","2013-04-17","Details",""
"10","500startups","AppZen","2,900,000","seed","2016-06-22","Details",""
