"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Mergelane","Havenly","7,500,000","venture","2015-11-04","Details",""
"2","AngelPad","Astronomer","2,500,000","seed","2017-06-28","Details",""
"3","HAXLR8R","Kindara","5,300,000","seed","2015-08-19","Details",""
"4","Y Combinator","Wevorce","3,149,000","venture","2016-01-27","Details",""
"5","Techstars","PartySlate","1,600,000","venture","2017-02-24","Details",""
"6","Y Combinator","ShipBob","4,000,000","venture","2016-05-18","Details",""
"7","SixThirty","Rippleshot","2,600,000","venture","2017-02-08","Details",""
"8","Techstars","GoSpotCheck","3,149,513","venture","2015-08-04","Details",""
"9","Techstars","AddStructure","1,850,000","seed","2017-02-27","Details",""
"10","500startups","Havenly","7,500,000","venture","2015-11-04","Details",""
"11","Techstars","Owlet","7,000,000","venture","2015-08-18","Details",""
