"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","6sense","16,000,000","venture","2014-05-20","Details",""
"2","New York Digital Health Accelerator","MedCPU","3,000,000","debt_financing","2015-07-14","Details",""
"3","Chinaccelerator","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"4","AngelPad","Astronomer","1,000,000","debt_financing","2017-06-28","Details",""
"5","AngelPad","Astronomer","3,500,000","venture","2017-07-11","Details",""
"6","Flashpoint","Springbot","6,000,000","venture","2015-06-05","Details",""
"7","500startups","AppZen","2,900,000","seed","2016-06-22","Details",""
"8","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"9","Y Combinator","Transcriptic","1,750,000","venture","2014-07-01","Details",""
"10","Y Combinator","Scribd","22,000,000","venture","2015-01-02","Details",""
"11","Techstars","Bamba","1,100,000","seed","2017-02-14","Details",""
"12","Techstars","Roximity","30,000,000","debt_financing","2016-06-21","Details","Exited"
"13","Boost VC","Align Commerce","24,000,000","venture","2017-03-08","Details",""
"14","Techstars","Remitly","38,500,000","venture","2016-09-30","Details",""
"15","Betaspring","Splitwise","1,400,000","seed","2014-12-16","Details",""
"16","Techstars","Distil","21,000,000","venture","2016-08-02","Details",""
"17","Flashpoint","Springbot","4,000,000","venture","2013-07-24","Details",""
"18","Y Combinator","Dr Chrono","2,600,000","debt_financing","2014-04-10","Details",""
"19","i/o ventures","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"20","Chinaccelerator","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"21","Amplify.LA","hellotech","2,000,000","seed","2015-05-26","Details",""
"22","Y Combinator","Your Mechanic","24,000,000","venture","2016-03-01","Details",""
"23","Capital Innovators","JBara","9,000,000","venture","2013-04-01","Details","Dead"
"24","Y Combinator","Transcriptic","8,500,000","venture","2015-02-19","Details",""
"25","gener8tor","EatStreet","10,000,000","venture","2014-10-07","Details",""
"26","Techstars","Gone!","1,000,000","seed","2015-04-22","Details",""
