"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Mucker Lab","Panjo","1,600,000","seed","2013-07-23","Details",""
"2","Y Combinator","OMGPOP","1,500,000","venture","2008-06-26","Details","Exited"
"3","Mucker Lab","BloomNation","5,550,000","venture","2014-10-07","Details",""
"4","Y Combinator","Pixelapse","","seed","2012-06-05","Details","Exited"
"5","Y Combinator","Panorama Education","12,000,000","venture","2015-08-04","Details",""
"6","Techstars","OnSwipe","1,000,000","seed","2011-01-13","Details","Exited"
"7","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"8","Techstars","Freight Farms","3,700,000","venture","2014-12-17","Details",""
"9","Y Combinator","Cruise","12,500,000","venture","2015-09-18","Details","Exited"
"10","Y Combinator","Thalmic Labs (Myo)","120,000,000","venture","2016-09-19","Details",""
"11","FounderFuel","Flatbook","10,000,000","venture","2016-09-21","Details",""
"12","AngelPad","Postmates","80,000,000","venture","2015-06-25","Details",""
"13","Y Combinator","Sift Science","18,000,000","venture","2014-05-14","Details",""
"14","Boost VC","Verse","8,300,000","venture","2016-10-24","Details",""
"15","Y Combinator","Thalmic Labs (Myo)","14,500,000","venture","2013-06-05","Details",""
"16","Techstars","Timehop","1,100,000","seed","2012-01-22","Details",""
"17","Mucker Lab","BloomNation","1,650,000","seed","2013-10-24","Details",""
"18","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"19","Mucker Lab","Panjo","4,600,000","venture","2015-11-12","Details",""
"20","AngelPad","Storefront","7,300,000","venture","2014-04-14","Details",""
"21","AngelPad","Postmates","35,000,000","venture","2015-02-20","Details",""
"22","Boost VC","Verse","20,500,000","venture","2017-05-16","Details",""
"23","Y Combinator","Coin","15,500,000","venture","2014-05-05","Details","Exited"
"24","Imagine K12","Panorama","12,000,000","venture","2015-08-04","Details",""
"25","Techstars","Timehop","3,000,000","venture","2013-07-25","Details",""
"26","Techstars","Timehop","10,000,000","venture","2014-07-22","Details",""
"27","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"28","Axel Springer Plug and Play","Careship","4,000,000","venture","2017-01-24","Details",""
"29","Y Combinator","Sift Science","30,000,000","venture","2016-07-19","Details",""
"30","AngelPad","Postmates","16,000,000","venture","2014-02-18","Details",""
"31","Techstars","Freight Farms","7,300,000","venture","2017-04-12","Details",""
"32","Y Combinator","OMGPOP","10,100,000","venture","2011-01-06","Details","Exited"
