"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Ginko Bioworks","120,000","seed","2014-07-16","Details",""
"2","The Alchemist Accelerator","Flowcast","2,000,000","seed","2016-11-07","Details",""
"3","InnoSpring","Accusilicon","","seed","2012-04-22","Details",""
"4","Y Combinator","Ginko Bioworks","120,000","seed","2014-07-16","Details",""
"5","Y Combinator","Ravti","120,000","seed","2014-07-16","Details",""
"6","Techstars","GymPact","850,000","seed","2012-06-28","Details",""
"7","Y Combinator","WeFunder","","seed","2014-04-15","Details",""
"8","The Brandery","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"9","AngelPad","Iterable","1,200,000","seed","2015-02-09","Details",""
"10","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"11","500startups","Mayvenn","3,000,000","seed","2013-04-24","Details",""
"12","500startups","LoveWithFood","645,000","seed","2012-07-10","Details",""
"13","Y Combinator","Launchpad Toys","17,000","venture","2011-07-26","Details","Exited"
"14","Y Combinator","Sliced Investing","2,000,000","seed","2014-11-17","Details",""
"15","Y Combinator","TrueVault","2,500,000","seed","2014-03-27","Details",""
"16","Y Combinator","Yardbook","","undisclosed","2015-03-13","Details",""
"17","500startups","LoveWithFood","1,400,000","seed","2014-06-10","Details",""
"18","Y Combinator","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"19","500startups","Avocode","605,000","convertible_note","2016-05-17","Details",""
"20","AngelPad","Zum","2,250,000","venture","2016-02-10","Details",""
"21","500startups","Chewse","1,000,000","seed","2013-04-01","Details",""
"22","Y Combinator","MixRank","1,500,000","seed","2011-11-18","Details",""
"23","500startups","MoBagel","3,000,000","seed","2017-04-10","Details",""
"24","InnoSpring","DewMobile","","seed","2012-04-22","Details",""
"25","Y Combinator","StudyEdge","","seed","2012-10-04","Details",""
"26","9Mile Labs","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"27","500startups","MoBagel","","seed","2015-08-24","Details",""
"28","Y Combinator","Dubjoy","1,600,000","seed","2012-02-13","Details",""
"29","500startups","EquityZen","","seed","2014-02-13","Details",""
"30","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"31","Y Combinator","HigherMe","1,500,000","seed","2016-10-19","Details",""
"32","500startups","Vango","2,200,000","seed","2015-05-28","Details",""
"33","The Alchemist Accelerator","HealthCrowd","500,000","seed","2013-05-01","Details",""
"34","AngelPad","Iterable","","seed","2013-05-01","Details",""
"35","Y Combinator","SendHub","2,000,000","seed","2012-04-26","Details","Exited"
"36","Techstars","Flixmaster","4,398,376","venture","2013-01-23","Details",""
"37","500startups","binpress","1,000,000","seed","2013-09-30","Details","Exited"
