"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","DataRobot","3,300,000","seed","2013-09-16","Details",""
"2","Y Combinator","Protocol Labs","25,000","venture","2016-03-24","Details",""
"3","Y Combinator","Perlara","2,500,000","seed","2014-07-31","Details",""
"4","Y Combinator","Tolemi","120,000","seed","2017-01-01","Details",""
"5","Y Combinator","Chart.io","3,150,000","venture","2011-10-31","Details",""
"6","The Alchemist Accelerator","Cambrian Genomics","","seed","2013-09-11","Details","Dead"
"7","Techstars","Pilot","775,000","convertible_note","2015-01-28","Details",""
"8","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"9","Y Combinator","Casetext","1,800,000","seed","2013-10-01","Details",""
"10","Y Combinator","Transcriptic","1,200,000","seed","2012-11-28","Details",""
"11","500startups","binpress","1,000,000","seed","2013-09-30","Details","Exited"
"12","HAXLR8R","Avidbots","","seed","2014-08-13","Details",""
"13","Y Combinator","Statwing","","seed","2012-08-01","Details","Exited"
