"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Excelerate Labs","BuzzReferrals","75,000","undisclosed","2011-03-31","Details",""
"2","Excelerate Labs","Lasso","75,000","seed","2012-06-01","Details",""
"3","Excelerate Labs","GiveForward","15,000","seed","2010-06-01","Details","Exited"
"4","Excelerate Labs","Tap.Me","15,000","seed","2010-06-01","Details","Exited"
"5","Excelerate Labs","Power2Switch","75,000","seed","2011-06-01","Details","Exited"
"6","Excelerate Labs","Pictarine","75,000","seed","2012-06-01","Details",""
"7","Excelerate Labs","WhimseyBox","75,000","seed","2012-06-01","Details",""
"8","Excelerate Labs","Food Genius","75,000","seed","2011-06-01","Details","Exited"
"9","Le Camping","Pictarine","75,000","seed","2012-06-01","Details",""
"10","Excelerate Labs","Cureeo","75,000","seed","2012-06-01","Details",""
"11","Excelerate Labs","IntroFly","75,000","seed","2011-06-01","Details","Dead"
"12","Excelerate Labs","MathZee","15,000","seed","2010-06-01","Details","Dead"
"13","Excelerate Labs","PVPower","15,000","seed","2010-06-01","Details",""
"14","Excelerate Labs","Edulender","15,000","seed","2010-06-01","Details",""
"15","Excelerate Labs","Joystickers","25,000","seed","2011-06-01","Details","Dead"
"16","Excelerate Labs","FeeFighters","15,000","seed","2010-05-01","Details","Exited"
"17","Excelerate Labs","Noblivity","15,000","seed","2010-06-01","Details",""
"18","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"19","Excelerate Labs","CookItFor.Us","75,000","seed","2011-06-01","Details","Dead"
"20","Excelerate Labs","71lbs","75,000","seed","2012-06-01","Details",""
"21","Excelerate Labs","SpotHero","460,000","angel","2012-08-27","Details",""
"22","Excelerate Labs","Shortlist","310,000","seed","2011-12-01","Details","Dead"
"23","Excelerate Labs","Exchangery","75,000","seed","2011-06-01","Details","Dead"
"24","Excelerate Labs","Fango","15,000","seed","2010-06-01","Details","Exited"
"25","Excelerate Labs","Moxie Jean","75,000","seed","2012-06-01","Details","Exited"
