"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","The Ticket Fairy","485,000","seed","2015-05-20","Details",""
"2","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"3","Y Combinator","Checkr","9,000,000","venture","2014-10-14","Details",""
"4","Y Combinator","FreshPlum","1,440,000","seed","2011-11-02","Details","Exited"
"5","AngelPad","RolePoint","5,000,000","seed","2013-01-01","Details",""
"6","Y Combinator","Upcall","2,190,000","seed","2017-04-07","Details",""
"7","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"8","Y Combinator","Le Tote","3,700,000","seed","2013-08-29","Details",""
"9","Y Combinator","Exec","3,300,000","seed","2012-05-25","Details","Exited"
"10","Y Combinator","Scentbird","2,800,000","seed","2016-03-30","Details",""
"11","Y Combinator","Razorpay","2,600,000","seed","2015-03-23","Details",""
"12","Y Combinator","Quartzy","17,000,000","venture","2016-01-04","Details",""
"13","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
