"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Seedcamp","zemanta","1,600,000","venture","2009-08-01","Details",""
"2","Y Combinator","Sift Science","18,000,000","venture","2014-05-14","Details",""
"3","Y Combinator","Disqus","10,000,000","venture","2011-05-04","Details",""
"4","Y Combinator","Coinbase","25,000,000","venture","2013-12-12","Details",""
"5","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"6","Y Combinator","Sift Science","4,000,000","venture","2013-03-19","Details",""
"7","500startups","RealtyShares","20,000,000","venture","2016-02-24","Details",""
"8","Seedcamp","zemanta","750,000","seed","2008-09-15","Details",""
"9","Techstars","Flip","2,200,000","seed","2017-06-27","Details",""
"10","Y Combinator","Firebase","5,600,000","venture","2013-06-20","Details","Exited"
"11","Y Combinator","Heyzap","3,000,000","venture","2010-06-23","Details","Exited"
"12","Y Combinator","Heyzap","4,300,000","venture","2012-12-01","Details","Exited"
"13","Y Combinator","Codecademy","10,000,000","venture","2012-06-18","Details",""
"14","Y Combinator","Science Exchange","28,000,000","venture","2017-06-29","Details",""
"15","Y Combinator","Casetext","7,000,000","venture","2015-02-03","Details",""
"16","500startups","Shippo","7,000,000","venture","2016-09-09","Details",""
"17","Y Combinator","Codecademy","2,500,000","venture","2011-10-27","Details",""
"18","Techstars","Pilot","3,300,000","seed","2015-05-01","Details",""
"19","Y Combinator","BlockStack Labs","1,330,000","seed","2014-11-16","Details",""
"20","Y Combinator","Codecademy","30,000,000","venture","2016-07-12","Details",""
"21","Y Combinator","Coinbase","6,109,590","venture","2013-05-07","Details",""
"22","Seedcamp","zemanta","3,000,000","venture","2010-11-11","Details",""
"23","Techstars","Pilot","12,000,000","venture","2016-11-01","Details",""
"24","Y Combinator","BlockStack Labs","4,000,000","seed","2017-01-05","Details",""
"25","Y Combinator","Casetext","12,000,000","venture","2017-03-22","Details",""
"26","Y Combinator","Disqus","500,000","venture","2008-03-18","Details",""
"27","Seedcamp","zemanta","2,000,000","venture","2013-11-05","Details",""
"28","Y Combinator","Coinbase","75,000,000","venture","2015-01-20","Details",""
"29","Y Combinator","Sift Science","30,000,000","venture","2016-07-19","Details",""
"30","Y Combinator","Nurx","5,300,000","venture","2016-10-31","Details",""
"31","Y Combinator","Heyzap","650,000","seed","2009-05-27","Details","Exited"
"32","Y Combinator","DroneBase","","seed","2015-04-08","Details",""
