"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Amplify.LA","hellotech","2,000,000","seed","2015-05-26","Details",""
"2","Mucker Lab","Retention Science","7,000,000","venture","2014-08-05","Details",""
"3","Techstars","StarStreet","3,500,000","venture","2015-02-10","Details","Exited"
"4","LaunchpadLA","Parachute","800,000","seed","2014-03-21","Details",""
"5","Techstars","Silversheet","2,900,000","seed","2015-05-13","Details",""
"6","LaunchpadLA","ChowNow","3,000,000","venture","2013-01-16","Details",""
"7","LaunchpadLA","Parachute","3,750,000","venture","2015-06-03","Details",""
"8","LaunchpadLA","ChowNow","10,000,000","venture","2015-03-25","Details",""
"9","LaunchpadLA","ChowNow","1,000,000","venture","2014-02-03","Details",""
"10","Amplify.LA","AlphaDraft","5,000,000","seed","2015-05-19","Details","Exited"
"11","Amplify.LA","hellotech","12,500,000","venture","2015-09-16","Details",""
"12","LaunchpadLA","Yieldmetrics","1,700,000","seed","2013-01-10","Details",""
"13","Amplify.LA","hellotech","2,500,000","seed","2015-01-27","Details",""
"14","LaunchpadLA","ChowNow","1,194,901","venture","2013-06-05","Details",""
"15","LaunchpadLA","Yieldmetrics","3,000,000","venture","2016-03-02","Details",""
"16","Y Combinator","GOAT","7,760,573","venture","2012-06-15","Details",""
"17","Techstars","Grove","2,049,999","seed","2014-05-29","Details",""
