"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","TapFwd","3,000,000","seed","2016-10-04","Details",""
"2","Y Combinator","Bloomthat","5,500,000","venture","2015-06-11","Details",""
"3","Y Combinator","Citus Data","9,500,000","venture","2015-10-20","Details",""
"4","DreamIT Ventures","Meerkat","14,000,000","venture","2015-03-27","Details",""
"5","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"6","Y Combinator","Coub","2,500,000","venture","2014-07-29","Details",""
"7","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"8","Techstars","Urtak","500,000","seed","2012-01-11","Details","Dead"
"9","AngelPad","TapFwd","","seed","2014-06-19","Details",""
"10","Y Combinator","Webflow","2,900,000","seed","2014-03-11","Details",""
"11","Y Combinator","Scentbird","2,800,000","seed","2016-03-30","Details",""
