"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Semantics3","1,550,000","venture","2015-11-05","Details",""
"2","Y Combinator","Protonet","120,000","seed","2015-11-21","Details",""
"3","500startups","Alumnify","","seed","2015-08-06","Details",""
"4","500startups","Alumnify","1,300,000","seed","2014-10-10","Details",""
"5","Y Combinator","Boom","2,120,000","seed","2016-04-19","Details",""
"6","Y Combinator","Zapier","1,200,000","seed","2012-10-31","Details",""
"7","Y Combinator","Meta Space Glasses","","seed","2013-05-01","Details",""
"8","Y Combinator","GO1","1,000,000","seed","2015-07-29","Details",""
"9","Y Combinator","DeepGram","120,000","seed","2015-11-21","Details",""
"10","Y Combinator","Plate Joy","1,700,000","seed","2015-04-29","Details",""
"11","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"12","500startups","Chewse","","seed","2014-08-01","Details",""
"13","Startmate","Flirtey","","venture","2015-09-07","Details",""
"14","Y Combinator","Upkeep Maintenance Management","2,700,000","seed","2017-06-30","Details",""
"15","Y Combinator","Bitmovin","","seed","2015-08-26","Details",""
"16","Y Combinator","PetCube","2,600,000","seed","2016-02-03","Details",""
"17","Y Combinator","Neptune.io","120,000","seed","2014-07-16","Details",""
"18","Y Combinator","Cinder","120,000","seed","2014-12-01","Details",""
"19","Y Combinator","Auro Robotics","","seed","2015-08-25","Details",""
"20","The Alchemist Accelerator","sense.ly","","seed","2014-03-14","Details",""
"21","Techstars","Final","1,000,000","seed","2015-01-27","Details",""
"22","Velocity Indiana Accelerator","Alumnify","","seed","2015-08-06","Details",""
"23","Y Combinator","Zeplin","120,000","seed","2015-07-20","Details",""
"24","Y Combinator","Pakible","120,000","seed","2014-12-01","Details",""
"25","Y Combinator","SendBird","120,000","seed","2015-11-21","Details",""
"26","Y Combinator","Jopwell","1,000,000","angel","2015-03-01","Details",""
"27","Y Combinator","Cruise","4,300,000","seed","2014-01-01","Details","Exited"
"28","Y Combinator","UpLabs","120,000","seed","2015-11-21","Details",""
"29","Y Combinator","SOUNDBOKS","120,000","seed","2015-11-21","Details",""
"30","Y Combinator","SimpleLegal","","seed","2013-08-27","Details",""
"31","Y Combinator","Acre Designs","1,400,000","seed","2015-11-21","Details",""
"32","Y Combinator","Vatler","120,000","seed","2014-07-16","Details",""
"33","Y Combinator","Treeline","","seed","2015-03-15","Details",""
"34","Y Combinator","Paperspace","","seed","2015-03-15","Details",""
"35","Y Combinator","MTailor","120,000","seed","2014-08-14","Details",""
"36","Y Combinator","LeadGenius","","seed","2011-06-01","Details",""
"37","Y Combinator","Wheelys Cafe","","seed","2015-08-18","Details",""
"38","Y Combinator","MailGun","1,100,000","seed","2011-05-13","Details",""
"39","Y Combinator","ShipBob","1,000,000","seed","2015-04-29","Details",""
"40","Y Combinator","Flirtey","","venture","2015-09-07","Details",""
"41","Y Combinator","Algolia","1,300,000","seed","2014-06-19","Details",""
"42","Y Combinator","Gravitational","120,000","seed","2015-05-01","Details",""
"43","Y Combinator","BlueSmart","","seed","2015-03-15","Details",""
"44","Velocity Indiana Accelerator","Alumnify","1,300,000","seed","2014-10-10","Details",""
"45","Y Combinator","Interviewed","2,000,000","seed","2015-09-29","Details",""
"46","Y Combinator","Semantics3","600,000","seed","2013-04-03","Details",""
"47","9Mile Labs","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"48","Y Combinator","Platzi","120,000","seed","2014-12-01","Details",""
"49","Y Combinator","HauteDay","120,000","seed","2014-07-16","Details",""
"50","Y Combinator","AirHelp","4,700,000","seed","2014-03-14","Details",""
"51","Y Combinator","TAXA Biotechnologies","425,000","seed","2014-07-16","Details",""
"52","Y Combinator","Roomstorm","","seed","2014-08-14","Details",""
"53","Y Combinator","Final","1,000,000","seed","2015-01-27","Details",""
"54","Y Combinator","Fixed","1,200,000","seed","2014-08-14","Details","Exited"
"55","Y Combinator","Eight","","seed","2015-08-09","Details",""
"56","Y Combinator","Sliced Investing","","seed","2014-08-14","Details",""
"57","Y Combinator","Wakie","1,000,000","seed","2016-02-25","Details",""
"58","Y Combinator","Eight","","seed","2015-08-09","Details",""
"59","Y Combinator","Luka","120,000","seed","2014-12-01","Details",""
"60","Y Combinator","Yardbook","120,000","seed","2015-11-21","Details",""
