"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Jonathan Downey","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"2","True Ventures","Connectifier","6,000,000","venture","2015-10-27","Details","Exited"
"3","Goldcrest Investments","Connectifier","6,000,000","venture","2015-10-27","Details","Exited"
"4","Sierra Angels","Vokle","767,000","seed","2011-04-19","Details",""
"5","Galeo-Ventures","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"6","Okapi Venture Capital","Connectifier","6,000,000","venture","2015-10-27","Details","Exited"
"7","Tech Coast Angels","Nanoogo","","angel","2012-11-03","Details",""
"8","K5 Ventures","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"9","Okapi Venture Capital","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"10","Sean Ellis","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"11","James Hong","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"12","Bridges Ventures","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"13","Andrew Chen","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"14","K5 Launch","Plasmyd","15,000","seed","2013-03-05","Details","Exited"
"15","Tech Coast Angels","Vokle","767,000","seed","2011-04-19","Details",""
"16","K5 Launch","NextLanding","20,000","seed","2013-01-15","Details",""
"17","True Ventures","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"18","Okapi Venture Capital","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"19","K5 Launch","Nanoogo","150,000","seed","2012-06-01","Details",""
"20","True Ventures","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"21","Launchpad LA","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"22","DreamIt Ventures","TrendBent","","seed","2012-12-05","Details","Dead"
