"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Acceleprise","ExecOnline","","seed","2012-07-18","Details",""
"2","500startups","GymHit","650,000","convertible_note","2015-07-05","Details",""
"3","500startups","GymHit","","venture","2016-07-01","Details",""
"4","Y Combinator","PocketSuite","30,000","convertible_note","2014-08-12","Details",""
"5","500startups","Baloonr","50,000","seed","2016-02-26","Details",""
"6","500startups","Reesio","207,500","seed","2015-07-16","Details","Exited"
"7","500startups","Indio","2,000,000","seed","2016-11-01","Details",""
"8","500startups","WorkAmerica","","seed","2013-09-13","Details",""
"9","Techstars","ResolutionTube","1,900,000","seed","2013-12-19","Details",""
"10","Y Combinator","Apozy","","seed","2013-09-15","Details",""
"11","Techstars","ResolutionTube","","seed","2013-09-13","Details",""
"12","DreamIT Ventures","baloonr","50,000","seed","2016-02-26","Details",""
"13","The Alchemist Accelerator","ContextSmith","50,000","seed","2016-02-01","Details",""
"14","Y Combinator","Nova","330,000","convertible_note","2015-03-31","Details",""
