"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SendHub","2,000,000","seed","2012-04-26","Details","Exited"
"2","Y Combinator","Volantio","70,000","seed","2009-03-01","Details",""
"3","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"4","Y Combinator","Meta Space Glasses","23,000,000","venture","2015-01-28","Details",""
"5","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"6","Y Combinator","Wattvision","","seed","2009-01-01","Details",""
"7","Y Combinator","Her","1,000,000","seed","2015-03-18","Details",""
"8","Y Combinator","Tutorspree","1,000,000","seed","2011-12-20","Details","Exited"
"9","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"10","Y Combinator","LeadGenius","6,000,000","venture","2014-10-08","Details",""
"11","Y Combinator","Sift Science","1,600,000","seed","2011-09-01","Details",""
"12","Y Combinator","Sendwithus","2,300,000","seed","2014-09-25","Details",""
"13","Y Combinator","Amicus","3,200,000","seed","2012-11-13","Details",""
"14","Y Combinator","Snapjoy","","seed","2011-06-01","Details","Exited"
"15","Y Combinator","Scentbird","2,800,000","seed","2016-03-30","Details",""
"16","Y Combinator","Beep","1,600,000","seed","2014-06-01","Details",""
"17","Imagine K12","Panorama","4,000,000","seed","2013-10-21","Details",""
"18","Y Combinator","Circuithub","","seed","2012-04-01","Details",""
"19","Y Combinator","PlanGrid","1,100,000","seed","2012-05-29","Details",""
"20","Y Combinator","Framed Data","2,000,000","seed","2014-12-11","Details","Exited"
"21","Y Combinator","Beep","2,400,000","seed","2014-12-01","Details",""
"22","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"23","Y Combinator","Panorama Education","4,000,000","seed","2013-10-21","Details",""
"24","Y Combinator","Survata","6,000,000","venture","2015-07-21","Details",""
"25","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"26","Y Combinator","Couple","4,200,000","seed","2012-05-02","Details","Exited"
"27","Y Combinator","Svbtle","","seed","2013-01-08","Details",""
"28","Y Combinator","Regalii","2,000,000","seed","2014-01-01","Details",""
"29","Y Combinator","Front","3,100,000","seed","2014-10-01","Details",""
"30","Y Combinator","Genius","15,000,000","venture","2012-10-03","Details",""
"31","Y Combinator","Lob","2,400,000","seed","2013-11-04","Details",""
"32","Y Combinator","BufferBox","1,000,000","seed","2012-08-01","Details","Exited"
"33","Y Combinator","GetGoing","2,500,000","seed","2012-01-01","Details","Exited"
"34","Y Combinator","Codecademy","10,000,000","venture","2012-06-18","Details",""
"35","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"36","Y Combinator","Taplytics","2,400,000","seed","2015-05-20","Details",""
"37","Y Combinator","E la Carte","4,000,000","venture","2011-08-30","Details",""
"38","Y Combinator","Kicksend","1,000,000","seed","2013-04-13","Details","Exited"
"39","Y Combinator","Swiftype","","seed","2012-01-01","Details",""
"40","Y Combinator","Wakemate","","seed","2009-08-01","Details","Dead"
"41","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"42","Y Combinator","Double Robotics","1,900,000","seed","2012-09-21","Details",""
"43","Y Combinator","Pushbullet","1,500,000","seed","2015-01-27","Details",""
"44","Y Combinator","Lattice","2,800,000","seed","2016-05-12","Details",""
"45","Y Combinator","Outbound","400,000","seed","2014-10-01","Details","Exited"
"46","Y Combinator","ProductHunt","6,100,000","venture","2014-10-08","Details","Exited"
"47","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"48","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"49","Y Combinator","Prizeo","2,500,000","seed","2013-06-06","Details",""
"50","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"51","Y Combinator","LendUp","","seed","2012-10-10","Details",""
"52","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"53","Y Combinator","Coinbase","600,000","seed","2012-09-12","Details",""
"54","Y Combinator","Kicksend","1,800,000","seed","2011-11-03","Details","Exited"
"55","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"56","Y Combinator","Frogmetrics","","undisclosed","2008-06-01","Details","Dead"
"57","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"58","Y Combinator","Meteor","11,200,000","venture","2012-07-25","Details",""
"59","Y Combinator","Hipmunk","15,000,000","venture","2012-06-12","Details","Exited"
"60","Y Combinator","Foodoro","","seed","2009-01-01","Details",""
"61","Y Combinator","Ambition","","seed","2014-02-01","Details",""
"62","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"63","Y Combinator","SpoonRocket","2,500,000","seed","2013-09-21","Details","Exited"
