"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Coinbase","25,000,000","venture","2013-12-12","Details",""
"2","LaunchpadLA","Tradesy","1,500,000","venture","2012-10-24","Details",""
"3","Y Combinator","DoseDr","","seed","2016-03-23","Details",""
"4","Y Combinator","Tilt","12,000,000","venture","2013-03-22","Details","Exited"
"5","Y Combinator","Boostable","622,000","seed","2014-04-08","Details",""
"6","Y Combinator","Glio","","seed","2013-09-01","Details",""
"7","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"8","Y Combinator","Genius","15,000,000","venture","2012-10-03","Details",""
"9","500startups","The Mars Reel","1,342,000","angel","2015-09-01","Details",""
"10","Y Combinator","Le Tote","3,700,000","seed","2013-08-29","Details",""
"11","Y Combinator","Balanced","2,000,000","seed","2013-04-03","Details","Dead"
