"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","Preact","4,600,000","seed","2014-04-18","Details","Exited"
"2","Code for America Accelerator","Captricity","10,000,000","venture","2014-07-15","Details",""
"3","Techstars","Ubersense","1,100,000","seed","2012-09-17","Details","Exited"
"4","Techstars","Grockit","7,000,000","venture","2010-05-14","Details","Exited"
"5","Seedcamp","Psykosoft","500,000","seed","2012-06-27","Details",""
"6","Techstars","Fancred","3,000,000","seed","2014-08-21","Details",""
"7","Techstars","GrabCAD","4,000,000","venture","2012-01-04","Details","Exited"
"8","Techstars","Kinvey","2,000,000","seed","2011-08-04","Details","Exited"
"9","Y Combinator","Jumpcut","7,000,000","venture","2000-05-09","Details",""
"10","Techstars","Kinvey","5,000,000","venture","2012-07-11","Details","Exited"
"11","Techstars","DataRobot","21,000,000","venture","2014-08-15","Details",""
"12","Techstars","Psykosoft","500,000","seed","2012-06-27","Details",""
"13","AngelPad","SimpleReach","9,000,000","venture","2014-07-11","Details",""
"14","Techstars","Marginize","650,000","seed","2010-08-11","Details",""
"15","Le Camping","docTrackr","2,000,000","seed","2012-10-02","Details","Exited"
"16","Techstars","Grockit","20,000,000","venture","2012-12-18","Details","Exited"
"17","Techstars","GrabCAD","1,100,000","seed","2011-06-08","Details","Exited"
"18","Techstars","Doctrackr","2,000,000","seed","2012-10-02","Details","Exited"
"19","Techstars","PillPack","55,000,000","venture","2016-09-06","Details",""
"20","Techstars","DataRobot","3,300,000","seed","2013-09-16","Details",""
"21","LaunchpadLA","Preact","750,000","seed","2013-03-01","Details","Exited"
"22","Techstars","PillPack","8,750,000","venture","2014-10-09","Details",""
"23","Techstars","Fortified Bicycle","800,000","venture","2014-07-19","Details",""
"24","Techstars","Kinvey","10,874,000","venture","2014-09-23","Details","Exited"
"25","Techstars","PillPack","50,000,000","venture","2015-06-03","Details",""
"26","AngelPad","SimpleReach","13,600,000","venture","2017-04-21","Details",""
"27","Seedcamp","GrabCad","8,150,000","venture","2012-10-16","Details","Exited"
"28","Techstars","Threat Stack","7,909,998","venture","2015-08-06","Details",""
"29","Techstars","Fancred","1,500,000","seed","2013-10-16","Details",""
"30","Techstars","GrabCAD","8,150,000","venture","2012-10-16","Details","Exited"
"31","Techstars","PillPack","3,500,000","venture","2013-07-01","Details",""
"32","Techstars","Fashion Project","4,600,000","venture","2013-04-09","Details",""
"33","FounderFuel","ooomf","2,100,000","seed","2013-12-17","Details",""
"34","Techstars","Fancred","500,000","debt_financing","2012-11-28","Details",""
"35","Techstars","Threat Stack","1,200,000","seed","2013-10-22","Details",""
"36","Seedcamp","GrabCad","1,100,000","seed","2011-06-08","Details","Exited"
"37","Techstars","Threat Stack","2,671,497","venture","2014-04-16","Details",""
"38","Seedcamp","GrabCad","4,000,000","venture","2012-01-04","Details","Exited"
"39","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"40","Techstars","Grockit","7,000,000","venture","2011-10-17","Details","Exited"
"41","Seedcamp","Brainient","1,800,000","venture","2012-01-15","Details","Exited"
