"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Imagine K12","Front Row","5,300,000","venture","2015-08-12","Details",""
"2","Springboard","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"3","Y Combinator","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"4","Y Combinator","OMGPOP","1,500,000","venture","2008-06-26","Details","Exited"
"5","Y Combinator","Smyte","4,000,000","venture","2017-03-28","Details",""
"6","Springboard","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"7","Y Combinator","Xobni","3,200,000","venture","2009-03-24","Details","Exited"
"8","Y Combinator","Heroku","10,000,000","venture","2010-05-10","Details","Exited"
"9","Y Combinator","OMGPOP","","angel","2007-05-01","Details","Exited"
"10","Springboard","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"11","Springboard","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"12","Y Combinator","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"13","Y Combinator","Weebly","650,000","angel","2007-05-01","Details",""
"14","Springboard","Apiary.io","6,800,000","venture","2015-08-18","Details","Exited"
"15","Y Combinator","Machine Zone","5,300,000","venture","2011-08-01","Details",""
"16","Y Combinator","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"17","Y Combinator","Xobni","7,000,000","venture","2009-01-05","Details","Exited"
"18","Techstars","Careport Health","2,200,000","venture","2015-06-01","Details","Exited"
"19","Y Combinator","OwnLocal","567,000","seed","2013-02-01","Details",""
"20","Y Combinator","Xobni","16,200,000","venture","2010-04-15","Details","Exited"
"21","Y Combinator","OMGPOP","5,000,000","venture","2009-03-10","Details","Exited"
"22","Y Combinator","Smyte","2,250,000","seed","2015-06-23","Details",""
"23","RockHealth","Mango Health","1,450,000","seed","2012-07-31","Details",""
