"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Veri","1,200,000","seed","2011-07-01","","Dead"
"2","Y Combinator","Snaptalent","","seed","2008-01-01","Details","Dead"
"3","Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"4","Techstars","OnSwipe","1,000,000","seed","2011-01-13","Details","Exited"
"5","Techstars","Pickie","1,000,000","seed","2012-10-29","Details","Exited"
"6","Y Combinator","DailyBooth","1,000,000","angel","2009-10-19","Details","Exited"
"7","Y Combinator","OMGPOP","10,100,000","venture","2011-01-06","Details","Exited"
"8","Y Combinator","Embedly","250,000","seed","2010-08-05","Details","Exited"
"9","Y Combinator","Embedly","450,000","seed","2011-06-09","Details","Exited"
"10","Y Combinator","Tipjoy","1,000,000","angel","2008-09-24","Details","Dead"
"11","Y Combinator","OMGPOP","1,500,000","venture","2008-06-26","Details","Exited"
"12","Y Combinator","Svbtle","","seed","2013-01-08","Details",""
"13","Techstars","Bondsy","","seed","2012-07-01","Details","Dead"
"14","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"15","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"16","Techstars","piictu","730,000","seed","2011-09-22","Details","Exited"
