"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","Fieldwire","","seed","2014-09-01","Details",""
"2","The Alchemist Accelerator","BrightFunnel","6,000,000","venture","2015-12-02","Details",""
"3","500startups","AppZen","2,900,000","seed","2016-06-22","Details",""
"4","Y Combinator","Flexport","6,900,000","venture","2014-01-01","Details",""
"5","The Alchemist Accelerator","Rigetti Quantum Computing","24,000,000","venture","2017-03-28","Details",""
"6","AngelPad","Fieldwire","6,600,000","venture","2015-10-27","Details",""
"7","The Alchemist Accelerator","BrightFunnel","2,250,000","seed","2014-10-09","Details",""
"8","Y Combinator","Survata","6,000,000","venture","2015-07-21","Details",""
"9","500startups","Pop Up Archive","325,000","seed","2014-07-29","Details",""
"10","Y Combinator","Gigster","700,000","seed","2015-06-01","Details",""
"11","Techstars","Pathgather","1,600,000","seed","2014-11-25","Details",""
"12","Y Combinator","InfluxData","16,000,000","venture","2016-09-21","Details",""
"13","Y Combinator","YesGraph","1,000,000","seed","2015-02-27","Details",""
"14","AngelPad","Fieldwire","1,100,000","seed","2015-02-05","Details",""
"15","Y Combinator","InfluxData","792,000","seed","2013-06-05","Details",""
"16","Y Combinator","Flexport","22,100,000","venture","2015-08-06","Details",""
"17","Y Combinator","Rigetti Computing","24,000,000","venture","2017-03-28","Details",""
"18","The Alchemist Accelerator","LaunchDarkly","8,700,000","venture","2016-12-20","Details",""
"19","Y Combinator","Flexport","65,000,000","venture","2016-09-26","Details",""
