"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","BoomStartup","MashWorx","","seed","2010-09-03","Details","Dead"
"2","BoomStartup","ChampionVillage","","seed","2011-05-05","Details","Dead"
"3","BoomStartup","IActionable","","seed","2010-05-01","Details",""
"4","BoomStartup","icount","15,000","seed","2010-05-01","Details",""
"5","BoomStartup","BlueRoof360","","seed","2012-05-03","Details",""
"6","BoomStartup","Jumbas","","seed","2011-05-05","Details","Dead"
"7","BoomStartup","CityGro","","seed","2012-05-03","Details",""
"8","BoomStartup","FindProz","","seed","2011-05-05","Details",""
"9","BoomStartup","Explorer.io","","seed","2011-05-05","Details",""
"10","BoomStartup","FaceTags","","seed","2011-05-05","Details","Dead"
"11","BoomStartup","TextMeTix","","seed","2012-05-03","Details",""
"12","BoomStartup","XoomPark","","seed","2012-05-03","Details",""
"13","BoomStartup","Referral.IM","","seed","2012-05-03","Details",""
"14","BoomStartup","CircleFive","","seed","2011-05-05","Details",""
"15","BoomStartup","Match Make Inc","","seed","2012-03-03","Details","Exited"
"16","BoomStartup","TaleSpring","","seed","2010-09-03","Details",""
