"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"2","Techstars","Atlas","400,000","seed","2014-08-01","Details",""
"3","Boost VC","7shifts","1,200,000","seed","2016-05-26","Details",""
"4","Boost VC","Align Commerce","1,500,000","seed","2015-04-29","Details",""
"5","Boost VC","BitPagos","1,900,000","venture","2017-01-03","Details",""
"6","Boost VC","snapCard","60,000","seed","2013-12-01","Details",""
"7","Boost VC","VRChive","110,000","seed","2014-10-14","Details",""
"8","Y Combinator","BlockScore","2,000,000","seed","2014-06-25","Details",""
"9","Boost VC","snapCard","1,500,000","seed","2014-10-06","Details",""
"10","Boost VC","Lawnmower","190,000","seed","2016-04-18","Details","Exited"
"11","Boost VC","Swyft","550,000","seed","2014-07-01","Details",""
"12","Boost VC","BitPagos","600,000","seed","2014-01-29","Details",""
"13","Boost VC","Verse","8,300,000","venture","2016-10-24","Details",""
"14","Boost VC","Atlas Card","400,000","seed","2014-08-01","Details",""
"15","Boost VC","BlockScore","2,000,000","seed","2014-06-25","Details",""
"16","Boost VC","Unocoin","1,500,000","venture","2016-09-30","Details",""
"17","Blue Startups","VRCHIVE","110,000","seed","2014-10-14","Details",""
"18","Boost VC","Stampery","600,000","seed","2015-11-18","Details",""
"19","Boost VC","AuditFile","3,000,000","venture","2014-02-07","Details",""
