"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","Astronomer","3,500,000","venture","2017-07-11","Details",""
"2","The Brandery","VenueAgent","190,000","seed","2011-10-06","Details",""
"3","Techstars","ChoreMonster","775,000","seed","2012-12-31","Details",""
"4","Techstars","ChoreMonster","355,000","seed","2012-01-05","Details",""
"5","The Brandery","VenturePax","200,000","seed","2011-05-01","Details",""
"6","The Brandery","RoadTrippers","250,000","seed","2012-06-11","Details",""
"7","AngelPad","Astronomer","2,500,000","seed","2017-06-28","Details",""
"8","Techstars","CompleteSet","10,000","grant","2012-08-16","Details",""
"9","AngelPad","Astronomer","1,250,000","seed","2016-10-11","Details",""
"10","The Brandery","Pingage","3,100,000","venture","2014-01-21","Details",""
"11","Velocity Indiana Accelerator","Complete Set","10,000","grant","2012-08-16","Details",""
"12","The Brandery","TurboBOTZ","250,000","venture","2011-03-04","Details","Dead"
"13","AngelPad","Astronomer","750,000","angel","2016-04-15","Details",""
"14","The Brandery","VenturePax","10,000","seed","2009-09-01","Details",""
"15","The Brandery","ChoreMonster","775,000","seed","2012-12-31","Details",""
"16","The Brandery","ChoreMonster","355,000","seed","2012-01-05","Details",""
"17","The Brandery","Pingage","800,000","seed","2013-05-20","Details",""
"18","The Brandery","Strap","1,200,000","seed","2014-12-02","Details",""
"19","The Brandery","Off Track Planet","500,000","seed","2013-12-06","Details",""
"20","Techstars","LISNR","3,500,000","venture","2014-06-27","Details",""
"21","The Brandery","Pingage","600,000","seed","2013-02-01","Details",""
