"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"2","Techstars","Karma","1,200,000","seed","2012-08-15","Details",""
"3","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"4","Y Combinator","Balanced","2,000,000","seed","2013-04-03","Details","Dead"
"5","Y Combinator","Circle Medical","2,900,000","seed","2015-11-20","Details",""
"6","Techstars","SnowShoe","1,000,000","seed","2015-04-22","Details",""
"7","Amplify.LA","hellotech","2,500,000","seed","2015-01-27","Details",""
"8","AngelPad","UpCounsel","1,500,000","seed","2013-10-02","Details",""
"9","DreamIT Ventures","MindSnacks","1,200,000","seed","2011-03-09","Details",""
"10","Techstars","Flip","2,200,000","seed","2017-06-27","Details",""
"11","Y Combinator","Outschool","1,400,000","seed","2017-06-26","Details",""
"12","RockHealth","Sessions","300,000","seed","2013-06-24","Details","Exited"
"13","Y Combinator","True Link Financial","3,400,000","seed","2015-01-21","Details",""
"14","Y Combinator","Science Exchange","28,000,000","venture","2017-06-29","Details",""
"15","Y Combinator","Science Exchange","25,000,000","venture","2016-03-23","Details",""
"16","Techstars","Placemeter","6,000,000","venture","2014-09-18","Details","Exited"
"17","AccelFoods","Exo","4,000,000","venture","2016-03-07","Details",""
"18","gener8tor","LivBlends","","seed","2014-09-30","Details",""
"19","AccelFoods","Exo","1,200,000","seed","2014-09-23","Details",""
"20","Amplify.LA","hellotech","2,000,000","seed","2015-05-26","Details",""
"21","The Alchemist Accelerator","FeeX","2,750,000","venture","2015-09-09","Details",""
"22","Y Combinator","Zen99","2,500,000","seed","2014-11-06","Details",""
"23","Blueprint Health","Meddik","750,000","seed","2012-05-24","Details",""
"24","Techstars","Wander","1,200,000","seed","2012-04-19","Details","Exited"
