"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","NYC SeedStart","DataDog","15,000,000","venture","2014-02-04","Details",""
"2","DreamIT Ventures","Octane Lending","26,400,000","venture","2016-10-03","Details",""
"3","Techstars","Contently","","venture","2013-04-26","Details",""
"4","Techstars","10Sheet","2,000,000","seed","2013-07-16","Details",""
"5","Techstars","Contently","9,000,000","venture","2014-01-15","Details",""
"6","Techstars","Pathgather","1,600,000","seed","2014-11-25","Details",""
"7","Techstars","Contently","7,000,000","venture","2016-11-02","Details",""
"8","Y Combinator","SmartAsset","12,000,000","venture","2016-09-08","Details",""
"9","DreamIT Ventures","Octane Lending","850,000","seed","2014-12-04","Details",""
"10","NYC SeedStart","DataDog","1,200,000","seed","2011-04-29","Details",""
"11","NYC SeedStart","DataDog","94,500,000","venture","2016-01-12","Details",""
"12","Techstars","10Sheet","1,000,000","undisclosed","2014-01-30","Details",""
"13","NYC SeedStart","DataDog","6,200,000","venture","2012-11-21","Details",""
