"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","EveryMe","1,500,000","debt_round","2011-10-01","",""
"2","Y Combinator","EasyPost","850,000","seed","2013-06-06","Details",""
"3","Techstars","DigitalOcean","3,205,800","seed","2013-07-15","Details",""
"4","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"5","Upwest Labs","CodersClan","","seed","2014-10-02","Details",""
"6","Techstars","Zipline","5,000,000","venture","2012-10-16","Details",""
"7","Y Combinator","Simbi","1,200,000","seed","2016-08-16","Details",""
"8","The Brandery","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"9","AngelPad","Kinnek","10,000,000","venture","2014-09-15","Details",""
"10","LAUNCH incubator","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"11","Y Combinator","Couple","4,200,000","seed","2012-05-02","Details","Exited"
"12","Y Combinator","Svbtle","","seed","2013-01-08","Details",""
"13","Y Combinator","Authy","750,000","seed","2012-08-01","Details","Exited"
"14","Y Combinator","Abacus","3,500,000","seed","2014-10-29","Details",""
"15","Portland Seed Fund","Superbly","1,000,000","seed","2013-04-09","Details",""
"16","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"17","Techstars","DigitalOcean","37,200,000","venture","2014-03-06","Details",""
"18","Y Combinator","Tilt","12,000,000","venture","2013-03-22","Details","Exited"
"19","Startupbootcamp","BabyWatch","4,500,000","venture","2014-06-01","Details",""
"20","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"21","Y Combinator","Codecademy","2,500,000","venture","2011-10-27","Details",""
"22","Y Combinator","GitLab","1,500,000","seed","2015-07-08","Details",""
"23","Portland Seed Fund","Superbly","","seed","2012-03-07","Details",""
"24","Y Combinator","Imgix","5,000,000","venture","2013-05-01","Details",""
"25","Y Combinator","Realm","1,900,000","seed","2011-06-01","Details",""
"26","Y Combinator","Goldbely","10,000,000","venture","2017-03-08","Details",""
"27","Y Combinator","Authy","2,300,000","seed","2014-09-08","Details","Exited"
"28","500startups","CareLuLu","1,700,000","seed","2014-11-01","Details",""
"29","Y Combinator","Rocketrip","3,000,000","venture","2014-07-14","Details",""
"30","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"31","Mucker Lab","BloomNation","1,650,000","seed","2013-10-24","Details",""
"32","The Brandery","Bitcasa","1,500,000","seed","2011-01-01","Details","Dead"
"33","Techstars","Glider","","seed","2012-03-07","Details","Exited"
"34","500startups","955dreams","3,250,000","seed","2012-01-26","Details",""
"35","Y Combinator","Exec","3,300,000","seed","2012-05-25","Details","Exited"
"36","500startups","PredictionIO","2,500,000","seed","2014-07-17","Details","Exited"
"37","Y Combinator","Pachyderm","2,000,000","seed","2015-06-10","Details",""
"38","Mucker Lab","BloomNation","5,550,000","venture","2014-10-07","Details",""
"39","Y Combinator","AirBnb","112,000,000","venture","2011-07-25","Details",""
"40","Techstars","Glider","1,000,000","seed","2013-04-09","Details","Exited"
"41","Y Combinator","AirBnb","200,000,000","venture","2013-10-28","Details",""
"42","Y Combinator","Your Mechanic","1,800,000","seed","2012-09-11","Details",""
"43","Y Combinator","ReadMe","1,000,000","seed","2015-06-19","Details",""
"44","Upwest Labs","CodersClan","820,000","seed","2015-05-05","Details",""
"45","Y Combinator","Captain 401","3,500,000","seed","2016-02-24","Details",""
"46","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"47","Y Combinator","Zen99","2,500,000","seed","2014-11-06","Details",""
