"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Boost VC","BlockScore","2,000,000","seed","2014-06-25","Details",""
"2","500startups","BTCjam","1,200,000","seed","2014-06-05","Details","Dead"
"3","Y Combinator","BlockStack Labs","1,330,000","seed","2014-11-16","Details",""
"4","Boost VC","BitPagos","25,000","seed","2013-09-01","Details",""
"5","Y Combinator","BlockStack Labs","120,000","seed","2014-07-16","Details",""
"6","Boost VC","BitPagos","1,200,000","seed","2015-05-26","Details",""
"7","Techstars","Filament","775,000","venture","2016-01-19","Details",""
"8","Boost VC","Unocoin","250,000","seed","2014-08-11","Details",""
"9","Boost VC","Align Commerce","12,500,000","venture","2015-11-17","Details",""
"10","Boost VC","BitPagos","1,900,000","venture","2017-01-03","Details",""
"11","Boost VC","Coincove","500,000","seed","2014-07-15","Details",""
"12","Techstars","Filament","15,000,000","venture","2017-03-30","Details",""
"13","Y Combinator","BlockStack Labs","4,000,000","seed","2017-01-05","Details",""
"14","Techstars","Safello","250,000","seed","2014-07-10","Details",""
"15","Techstars","Chainalysis","1,600,000","seed","2016-02-19","Details",""
"16","Boost VC","Unocoin","1,500,000","venture","2016-09-30","Details",""
"17","Amplify.LA","Gem","7,600,000","venture","2016-01-06","Details",""
"18","Boost VC","Mirror","4,000,000","venture","2014-05-07","Details",""
"19","Seedcamp","Elliptic","5,000,000","venture","2016-03-20","Details",""
"20","Y Combinator","Coinbase","6,109,590","venture","2013-05-07","Details",""
