"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Boost VC","Transcense","","venture","2015-01-01","Details",""
"2","Y Combinator","BlockStack Labs","120,000","seed","2014-07-16","Details",""
"3","Y Combinator","Zenflow","5,200,000","seed","2015-01-01","Details",""
"4","Techstars","Grove","20,000","venture","2013-09-15","Details",""
"5","Y Combinator","GTrack Technologies","","venture","2015-05-01","Details",""
"6","Techstars","Vidrovr","150,000","convertible_note","2016-07-01","Details",""
"7","Boost VC","Ava","","venture","2015-01-01","Details",""
"8","Y Combinator","Athelas","","venture","2016-02-01","Details",""
"9","Y Combinator","InnaMed","700,000","seed","2017-03-21","Details",""
"10","Y Combinator","Supply","","venture","2014-11-01","Details",""
"11","Y Combinator","Flytenow","15,000","convertible_note","2014-01-29","Details","Dead"
