"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","Divshot","1,100,000","seed","2013-03-19","Details","Exited"
"2","Amplify.LA","sensay","1,500,000","seed","2015-01-05","Details",""
"3","The Brandery","Pingage","800,000","seed","2013-05-20","Details",""
"4","Y Combinator","Lob","2,400,000","seed","2013-11-04","Details",""
"5","AngelPad","Astronomer","3,500,000","venture","2017-07-11","Details",""
"6","HAXLR8R","Kindara","1,250,000","venture","2014-11-04","Details",""
"7","Techstars","Keen.io","2,350,000","seed","2013-10-23","Details",""
"8","500startups","OLSET","450,000","seed","2013-12-15","Details","Exited"
"9","AngelPad","Astronomer","1,250,000","seed","2016-10-11","Details",""
"10","Y Combinator","Plate Joy","","seed","2013-10-29","Details",""
"11","Y Combinator","Lob","7,000,000","venture","2014-09-08","Details",""
"12","Techstars","ExpenseBot","175,000","seed","2014-09-09","Details",""
"13","The Brandery","Pingage","3,100,000","venture","2014-01-21","Details",""
"14","Techstars","Cuseum","1,290,000","seed","2015-02-18","Details",""
"15","500startups","PlateJoy","","seed","2013-10-29","Details",""
"16","Y Combinator","Mattermark","2,000,000","seed","2014-06-29","Details",""
"17","The Brandery","Pingage","600,000","seed","2013-02-01","Details",""
"18","Amplify.LA","Gem","1,300,000","seed","2015-04-02","Details",""
"19","AngelPad","Astronomer","2,500,000","seed","2017-06-28","Details",""
"20","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"21","Techstars","ExpenseBot","220,000","seed","2013-11-07","Details",""
"22","Mergelane","BallotReady","780,000","seed","2017-01-31","Details",""
"23","Techstars","Keen.io","750,000","seed","2012-06-10","Details",""
"24","Techstars","Tred","1,700,000","angel","2013-01-15","Details",""
"25","Techstars","Mobiplug","2,700,000","seed","2012-09-25","Details",""
"26","Techstars","Pathful","400,000","angel","2014-06-01","Details","Exited"
