"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Straight Shot","Cympel","175,000","seed","2013-07-01","Details",""
"2","Straight Shot","Business Exchange","135,000","seed","2013-12-03","Details",""
"3","Techstars","Take Comics","3,800,000","venture","2011-01-25","Details","Exited"
"4","Straight Shot","Viirt","900,000","seed","2015-03-21","Details",""
"5","Code for America Accelerator","mindmixer","1,900,000","venture","2012-04-04","Details",""
"6","Code for America Accelerator","mindmixer","300,000","seed","2011-03-01","Details",""
"7","Techstars","AddStructure","1,850,000","seed","2017-02-27","Details",""
"8","gener8tor","ABODO","923,000","venture","2015-04-27","Details",""
"9","Techstars","RoundPegg","2,800,000","venture","2013-11-21","Details",""
"10","Straight Shot","Huntforce","400,000","seed","2013-09-30","Details",""
"11","Code for America Accelerator","mindmixer","4,000,000","venture","2013-05-01","Details",""
"12","Code for America Accelerator","mindmixer","17,000,000","venture","2014-09-02","Details",""
"13","Excelerate Labs","WhimseyBox","","seed","2012-11-01","Details",""
"14","Techstars","RoundPegg","1,807,182","venture","2016-05-12","Details",""
"15","Techstars","Take Comics","1,300,000","venture","2013-09-04","Details","Exited"
"16","Straight Shot","Huntforce","","seed","2013-06-15","Details",""
