"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","OnSwipe","1,000,000","seed","2011-01-13","Details","Exited"
"2","Techstars","Owlet","7,000,000","venture","2015-08-18","Details",""
"3","500startups","Statsbot","1,600,000","seed","2016-12-20","Details",""
"4","Techstars","Localytics","750,000","seed","2010-05-10","Details",""
"5","AngelPad","Vungle","2,000,000","seed","2012-05-02","Details",""
"6","DreamIT Ventures","MindSnacks","1,200,000","seed","2011-03-09","Details",""
"7","Techstars","Ginger.io","1,700,000","seed","2011-10-01","Details",""
"8","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"9","AngelPad","TrulyWireless","1,400,000","seed","2014-12-17","Details",""
"10","Techstars","Owlet","1,850,000","seed","2014-04-22","Details",""
"11","500startups","fitocracy","250,000","seed","2013-01-01","Details",""
"12","Techstars","Change Collective","1,400,000","seed","2014-01-21","Details",""
"13","Techstars","Immersive Labs","810,000","debt_financing","2011-09-19","Details",""
"14","Techstars","Owlet","15,000,000","venture","2016-11-03","Details",""
"15","Y Combinator","Meta Space Glasses","","seed","2013-05-01","Details",""
