"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","RockHealth","Mango Health","1,450,000","seed","2012-07-31","Details",""
"2","Techstars","Kapost","5,600,000","venture","2013-07-18","Details",""
"3","DreamIT Ventures","NarrativeDx","650,000","seed","2015-06-08","Details",""
"4","AlphaLab","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"5","Y Combinator","Lob","","venture","2016-05-12","Details",""
"6","Y Combinator","Lob","7,000,000","venture","2014-09-08","Details",""
"7","Capital Factory","Aceable","4,000,000","venture","2016-09-23","Details",""
"8","Y Combinator","Weebly","650,000","angel","2007-05-01","Details",""
"9","Y Combinator","Lob","20,000,000","venture","2017-05-31","Details",""
"10","Capital Factory","Sparefoot","3,500,000","venture","2011-03-07","Details",""
"11","Y Combinator","Grouper","","venture","2013-11-25","Details",""
"12","Blueprint Health","EnHatch","","seed","2016-03-07","Details",""
"13","Techstars","PenPal Schools","","seed","2015-04-01","Details",""
"14","Techstars","Outreach","9,200,000","venture","2015-10-27","Details",""
"15","Y Combinator","Rappi","10,700,000","seed","2016-03-01","Details",""
"16","RockHealth","Sano Intelligence","3,750,000","seed","2013-01-07","Details",""
"17","Y Combinator","Clever","3,000,000","seed","2012-10-22","Details",""
"18","RockHealth","LabDoor","3,400,000","venture","2016-11-03","Details",""
"19","Y Combinator","Labdoor","3,400,000","venture","2016-11-03","Details",""
"20","Capital Factory","Aceable","4,700,000","seed","2015-10-01","Details",""
"21","RockHealth","Mango Health","1,600,000","seed","2012-11-05","Details",""
"22","Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"23","i/o ventures","TouchofModern (previously Skyara)","3,000,000","venture","2013-07-11","Details",""
"24","i/o ventures","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"25","AlphaLab","Insurance Zebra","1,500,000","seed","2013-01-31","Details",""
"26","Techstars","Outreach","17,500,000","venture","2016-06-22","Details",""
