"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Disqus","500,000","venture","2008-03-18","Details",""
"2","Y Combinator","MatterPort","16,000,000","venture","2014-07-07","Details",""
"3","Y Combinator","Flexport","65,000,000","venture","2016-09-26","Details",""
"4","Flashpoint","Pindrop Security","30,000,000","venture","2015-02-18","Details",""
"5","Y Combinator","Gobble","1,200,000","venture","2011-05-11","Details",""
"6","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"7","Techstars","TriggerMail","21,000,000","venture","2015-12-02","Details",""
"8","The Alchemist Accelerator","Cambrian Genomics","","seed","2012-07-01","Details","Dead"
"9","Y Combinator","MatterPort","1,600,000","seed","2012-01-01","Details",""
"10","Y Combinator","MatterPort","35,000,000","venture","2015-06-25","Details",""
"11","Imagine K12","ClassDojo","8,500,000","venture","2013-04-02","Details",""
"12","Y Combinator","DailyBooth","1,000,000","angel","2009-10-19","Details","Exited"
"13","Techstars","TriggerMail","6,000,000","venture","2015-01-22","Details",""
"14","DreamIT Ventures","MindSnacks","1,200,000","seed","2011-03-09","Details",""
"15","Y Combinator","HireArt","1,400,000","seed","2012-01-01","Details",""
"16","Seedcamp","Erply","2,000,000","venture","2010-03-22","Details",""
"17","Y Combinator","CarWoo","300,000","seed","2010-01-01","Details","Dead"
"18","Techstars","Grove","2,049,999","seed","2014-05-29","Details",""
"19","Flashpoint","Pindrop Security","11,000,000","venture","2013-06-19","Details",""
"20","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"21","Y Combinator","SocialPicks","500,000","venture","2007-12-01","Details","Exited"
"22","Y Combinator","Cymmetria","1,500,000","seed","2015-07-19","Details",""
"23","RockHealth","Sano Intelligence","3,750,000","seed","2013-01-07","Details",""
"24","Y Combinator","Airware","12,200,000","venture","2013-05-15","Details",""
"25","Y Combinator","Ginko Bioworks","45,000,000","venture","2015-07-23","Details",""
"26","Y Combinator","Bump","3,400,000","venture","2009-10-24","Details","Exited"
"27","Y Combinator","Weebly","650,000","angel","2007-05-01","Details",""
"28","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"29","AngelPad","Simplifeye","3,000,000","venture","2017-03-09","Details",""
"30","Techstars","Zipline","5,000,000","venture","2012-10-16","Details",""
"31","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"32","Y Combinator","Cruise","4,300,000","seed","2014-01-01","Details","Exited"
"33","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"34","Y Combinator","Octopart","359,999","seed","2008-05-12","Details","Exited"
"35","Y Combinator","Bump","16,500,000","venture","2011-01-10","Details","Exited"
"36","Y Combinator","Appjet","","convertible_note","2009-02-01","Details","Exited"
"37","Y Combinator","Cruise","12,500,000","venture","2015-09-18","Details","Exited"
"38","Y Combinator","Ginko Bioworks","45,000,000","venture","2015-07-23","Details",""
"39","Mucker Lab","Emailage","5,674,970","venture","2016-04-13","Details",""
"40","Flashpoint","Pindrop Security","80,799,996","venture","2016-08-08","Details",""
"41","Y Combinator","MatterPort","5,600,000","venture","2013-03-07","Details",""
"42","Y Combinator","Gigster","1,800,000","convertible_note","2013-10-12","Details",""
"43","Y Combinator","Optimizely","2,000,000","seed","2012-02-06","Details",""
"44","500startups","955dreams","3,250,000","seed","2012-01-26","Details",""
"45","Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"46","The Alchemist Accelerator","MightyHive","1,000,000","seed","2013-04-01","Details",""
"47","AngelPad","Hall (was Companyline)","5,500,000","venture","2013-07-23","Details","Exited"
"48","Y Combinator","Flexport","22,100,000","venture","2015-08-06","Details",""
"49","Techstars","Foodzie","1,000,000","seed","2008-12-16","Details","Exited"
"50","Y Combinator","Ginko Bioworks","9,000,000","venture","2015-03-18","Details",""
"51","Y Combinator","Ginko Bioworks","9,000,000","venture","2015-03-18","Details",""
